Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0821	90.0	600.4169999999999	-1.08518e-05	2.21936e-06	1.1066e-05	168.276
7.1527	90.01	600.483713	-1.10893e-05	2.25475e-06	1.13473e-05	168.216
8.1608	90.02	600.5504259999999	-1.11741e-05	2.05172e-06	1.13566e-05	169.83
9.1684	90.03	600.617139	-1.00798e-05	1.88128e-06	1.01599e-05	169.41
10.176	90.04	600.683852	-1.02893e-05	2.41028e-06	1.05315e-05	166.644
11.1838	90.05	600.7505649999999	-1.02288e-05	2.63752e-06	1.06143e-05	165.684
12.1914	90.06	600.817278	-1.14628e-05	2.55184e-06	1.17301e-05	167.388
13.2145	90.07	600.8839909999999	-1.20802e-05	2.51365e-06	1.23494e-05	168.39
14.2386	90.08	600.950704	-1.08528e-05	1.85986e-06	1.09403e-05	170.022
15.2616	90.09	601.017417	-1.01431e-05	2.20539e-06	1.02921e-05	167.802
16.2859	90.1	601.08413	-1.04905e-05	1.96231e-06	1.06665e-05	169.308
17.3094	90.11	601.150843	-1.12812e-05	2.41959e-06	1.15801e-05	168.06
18.3323	90.12	601.217556	-1.1921e-05	2.16255e-06	1.20998e-05	169.566
19.3399	90.13	601.2842689999999	-1.14395e-05	2.62448e-06	1.17347e-05	166.95
20.3475	90.14	601.3509819999999	-1.12802e-05	2.32273e-06	1.14609e-05	168.522
21.3711	90.15	601.417695	-1.19219e-05	2.67943e-06	1.2206e-05	167.394
22.3946	90.16	601.4844079999999	-1.12476e-05	2.46709e-06	1.14553e-05	167.76
23.4016	90.17	601.551121	-1.12486e-05	2.58443e-06	1.15382e-05	167.01
24.4097	90.18	601.617834	-1.0863e-05	2.0778e-06	1.10586e-05	169.044
25.4177	90.19	601.684547	-1.04551e-05	2.17465e-06	1.0632e-05	168.174
26.4252	90.2	601.75126	-1.10781e-05	2.65801e-06	1.14041e-05	166.398
27.4324	90.21	601.8179729999999	-1.18828e-05	2.67291e-06	1.21585e-05	167.238
28.4403	90.22	601.884686	-1.1311e-05	2.46429e-06	1.16015e-05	167.73
29.4636	90.23	601.951399	-1.11368e-05	2.33577e-06	1.14572e-05	168.096
30.4867	90.24	602.018112	-1.12961e-05	2.44287e-06	1.15196e-05	167.796
31.5107	90.25	602.0848249999999	-1.05585e-05	2.44567e-06	1.08807e-05	167.094
32.5346	90.26	602.151538	-1.0429e-05	2.24636e-06	1.06972e-05	167.97
33.5411	90.27	602.2182509999999	-1.17003e-05	2.41121e-06	1.20551e-05	168.486
34.5657	90.28	602.284964	-1.11098e-05	2.13647e-06	1.13445e-05	169.044
35.5733	90.29	602.351677	-1.06302e-05	1.62423e-06	1.07317e-05	171.21
36.5807	90.3	602.4183899999999	-1.06907e-05	2.29572e-06	1.09487e-05	167.886
37.5888	90.31	602.485103	-1.15503e-05	2.20632e-06	1.17515e-05	168.984
38.6114	90.32	602.5518159999999	-1.18213e-05	2.24823e-06	1.2111e-05	169.26
39.6199	90.33	602.618529	-1.10493e-05	2.14392e-06	1.12868e-05	169.062
40.6426	90.34	602.685242	-1.17394e-05	2.36651e-06	1.19713e-05	168.78
41.6508	90.35	602.751955	-1.06479e-05	2.42332e-06	1.09058e-05	167.118
42.6737	90.36	602.818668	-1.11424e-05	2.11319e-06	1.13911e-05	169.086
43.6972	90.37	602.8853809999999	-1.06395e-05	2.01447e-06	1.08528e-05	169.056
44.7218	90.38	602.9520939999999	-1.04961e-05	2.21097e-06	1.07e-05	168.162
45.744	90.39	603.0188069999999	-1.13613e-05	2.45777e-06	1.16528e-05	167.748
46.7683	90.4	603.08552	-1.11843e-05	2.66267e-06	1.15643e-05	166.716
47.7909	90.41	603.1522329999999	-1.11973e-05	2.30504e-06	1.14469e-05	168.438
48.8157	90.42	603.218946	-1.07969e-05	2.16161e-06	1.09487e-05	168.57
