Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0745	90.5	603.75265	-3.75697e-06	-4.13509e-07	3.77373e-06	-173.91
7.1605	90.51	603.819363	-3.8408e-06	8.00942e-08	3.89296e-06	179.25
8.1841	90.52	603.8860759999999	-4.77958e-06	-3.44591e-07	4.78516e-06	-175.794
9.2085	90.53	603.9527889999999	-3.94325e-06	-3.74393e-07	3.94139e-06	-174.09
10.2312	90.54	604.019502	-4.25059e-06	-1.06171e-07	4.2748e-06	-178.194
11.2553	90.55	604.0862149999999	-5.01054e-06	-3.91158e-08	5.05711e-06	-179.172
12.2786	90.56	604.152928	-3.98236e-06	-2.42146e-07	3.94511e-06	-176.286
13.2867	90.57	604.2196409999999	-4.50577e-06	9.6858e-08	4.44803e-06	178.452
14.294	90.58	604.286354	-4.55606e-06	3.50179e-07	4.52067e-06	175.518
15.3181	90.59	604.353067	-4.17235e-06	-3.50179e-07	4.13696e-06	-175.524
16.3247	90.6	604.41978	-3.621e-06	-3.55767e-07	3.64149e-06	-173.922
17.3326	90.61	604.486493	-4.21892e-06	-1.86265e-07	4.23382e-06	-177.57
18.3406	90.62	604.553206	-4.74791e-06	-7.45064e-09	4.72929e-06	179.94
19.3634	90.63	604.619919	-4.41077e-06	1.32249e-07	4.36048e-06	178.158
20.3718	90.64	604.6866319999999	-4.74419e-06	-3.2969e-07	4.71066e-06	-175.656
21.3948	90.65	604.753345	-4.37352e-06	-1.97441e-07	4.34931e-06	-177.864
22.4187	90.66	604.8200579999999	-3.88364e-06	3.91158e-08	3.90972e-06	179.856
23.4581	90.67	604.886771	-3.78491e-06	-1.00583e-07	3.74393e-06	-178.566
24.4819	90.68	604.953484	-4.02334e-06	-2.25381e-07	4.05314e-06	-177.252
25.5061	90.69	605.0201969999999	-4.29901e-06	-9.87206e-08	4.33068e-06	-178.62
26.5293	90.7	605.08691	-4.44803e-06	-4.43311e-07	4.53184e-06	-174.216
27.5527	90.71	605.1536229999999	-4.63056e-06	-3.72532e-09	4.57655e-06	179.898
28.5605	90.72	605.220336	-4.32323e-06	6.33304e-08	4.38842e-06	179.028
29.5998	90.73	605.287049	-4.02334e-06	3.63218e-07	4.05314e-06	174.09
30.6069	90.74	605.353762	-4.21147e-06	-1.32249e-07	4.19098e-06	-178.518
31.6158	90.75	605.420475	-4.95653e-06	-6.10951e-07	4.96398e-06	-172.758
32.6231	90.76	605.487188	-4.44616e-06	-3.27827e-07	4.44989e-06	-176.262
33.6304	90.77	605.5539009999999	-4.6138e-06	-1.34111e-07	4.64919e-06	-178.302
34.6376	90.78	605.6206139999999	-4.68831e-06	1.76952e-07	4.71066e-06	177.834
35.6452	90.79	605.687327	-4.26176e-06	-2.12342e-07	4.21147e-06	-176.85
36.6523	90.8	605.7540399999999	-4.68831e-06	-1.04309e-07	4.74977e-06	-178.482
37.6768	90.81	605.820753	-4.06246e-06	-4.69388e-07	4.06432e-06	-173.454
38.6997	90.82	605.8874659999999	-4.93418e-06	-1.95579e-07	4.923e-06	-177.678
39.7394	90.83	605.954179	-4.66223e-06	-2.08617e-07	4.6585e-06	-177.81
40.7627	90.84	606.020892	-4.71438e-06	1.88128e-07	4.7237e-06	178.08
41.7874	90.85	606.0876049999999	-4.19843e-06	-3.81844e-07	4.22451e-06	-174.822
42.8099	90.86	606.154318	-4.30274e-06	-1.37837e-07	4.30833e-06	-177.42
43.8334	90.87	606.221031	-4.48155e-06	1.65776e-07	4.41822e-06	177.846
44.8408	90.88	606.287744	-4.75722e-06	8.75448e-08	4.77026e-06	178.902
45.8481	90.89	606.3544569999999	-4.08667e-06	3.6508e-07	4.14069e-06	174.51
46.8722	90.9	606.42117	-4.57096e-06	4.09784e-08	4.58214e-06	179.52
47.8794	90.91	606.4878829999999	-4.4145e-06	-6.42616e-07	4.47224e-06	-171.69
