Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.1153	90.0	600.4169999999999	-4.38097e-06	-4.24685e-07	4.44058e-06	-175.146
7.2193	90.01	600.483713	-4.37352e-06	-3.72531e-08	4.34744e-06	179.694
8.259	90.02	600.5504259999999	-3.99354e-06	2.34694e-07	4.02707e-06	176.736
9.2663	90.03	600.617139	-4.37352e-06	4.02333e-07	4.33999e-06	174.816
10.2743	90.04	600.683852	-4.33999e-06	-1.15484e-07	4.3847e-06	-178.014
11.2822	90.05	600.7505649999999	-4.57096e-06	-3.72532e-09	4.52626e-06	-179.748
12.2888	90.06	600.817278	-4.69389e-06	3.79981e-07	4.7237e-06	175.554
13.2965	90.07	600.8839909999999	-4.18353e-06	-3.46454e-07	4.21333e-06	-174.786
14.3207	90.08	600.950704	-5.00309e-06	2.34694e-07	5.0478e-06	177.318
15.344	90.09	601.017417	-4.50018e-06	-1.93716e-07	4.47038e-06	-177.18
16.3678	90.1	601.08413	-4.81683e-06	-7.45063e-08	4.81683e-06	-179.046
17.3753	90.11	601.150843	-4.01217e-06	-3.35278e-08	3.92649e-06	-179.364
18.3979	90.12	601.217556	-4.60076e-06	-2.86849e-07	4.55978e-06	-177.054
19.423	90.13	601.2842689999999	-4.42567e-06	-1.04309e-07	4.43685e-06	-178.926
20.4456	90.14	601.3509819999999	-4.74977e-06	-1.52738e-07	4.74977e-06	-178.266
21.4536	90.15	601.417695	-5.00682e-06	-1.56463e-07	4.93976e-06	-178.056
22.4612	90.16	601.4844079999999	-4.7535e-06	-7.9349e-07	4.83173e-06	-170.598
23.4842	90.17	601.551121	-4.36607e-06	-2.3842e-07	4.38097e-06	-177.132
24.4913	90.18	601.617834	-4.56351e-06	6.33304e-08	4.55978e-06	179.202
25.5315	90.19	601.684547	-4.22823e-06	-3.98608e-07	4.28784e-06	-174.72
26.5553	90.2	601.75126	-5.05525e-06	-2.53322e-07	5.02172e-06	-176.868
27.5624	90.21	601.8179729999999	-4.53743e-06	-1.93716e-07	4.49645e-06	-177.444
28.5864	90.22	601.884686	-5.11485e-06	-3.98608e-07	5.14466e-06	-175.812
29.6097	90.23	601.951399	-4.52998e-06	2.60771e-08	4.56351e-06	179.958
30.6331	90.24	602.018112	-4.23196e-06	-1.93716e-07	4.20961e-06	-177.312
31.6574	90.25	602.0848249999999	-4.33999e-06	-1.7509e-07	4.38097e-06	-178.134
32.6808	90.26	602.151538	-4.90251e-06	-8.56821e-08	4.92114e-06	-178.842
33.7202	90.27	602.2182509999999	-4.30274e-06	4.09784e-08	4.24686e-06	179.232
34.7439	90.28	602.284964	-4.67154e-06	-6.29578e-07	4.64919e-06	-171.786
35.7674	90.29	602.351677	-4.55606e-06	9.6858e-08	4.58959e-06	178.302
36.7914	90.3	602.4183899999999	-4.66782e-06	2.49596e-07	4.70135e-06	177.318
37.7976	90.31	602.485103	-4.21706e-06	-3.31553e-07	4.27294e-06	-174.666
38.8058	90.32	602.5518159999999	-4.04197e-06	-1.45287e-07	4.01217e-06	-177.906
39.8139	90.33	602.618529	-4.56351e-06	-1.49013e-07	4.59331e-06	-178.098
40.8365	90.34	602.685242	-4.56351e-06	-8.56821e-08	4.55978e-06	-179.16
41.8448	90.35	602.751955	-4.32882e-06	-1.8254e-07	4.35117e-06	-177.678
42.8528	90.36	602.818668	-4.69017e-06	-4.50762e-07	4.69389e-06	-174.12
43.8603	90.37	602.8853809999999	-4.70135e-06	-3.79981e-07	4.74977e-06	-175.152
44.8833	90.38	602.9520939999999	-5.0478e-06	-1.37837e-07	5.01054e-06	-178.32
45.9064	90.39	603.0188069999999	-5.01054e-06	-1.60188e-07	5.11113e-06	-178.074
46.9468	90.4	603.08552	-4.42195e-06	-5.58796e-08	4.36979e-06	-179.166
47.9706	90.41	603.1522329999999	-4.35489e-06	-3.72531e-07	4.35489e-06	-174.894
48.9942	90.42	603.218946	-4.35862e-06	-6.10951e-07	4.33254e-06	-171.732
50.0177	90.43	603.285659	-4.83546e-06	-1.60188e-07	4.84663e-06	-178.386
51.0415	90.44	603.352372	-4.95094e-06	2.98025e-08	4.90996e-06	179.574
52.0477	90.45	603.419085	-4.71997e-06	6.33304e-08	4.68644e-06	179.184
53.0874	90.46	603.4857979999999	-3.97491e-06	-3.91157e-07	3.99727e-06	-174.6
54.0956	90.47	603.552511	-4.85781e-06	-1.86265e-07	4.90251e-06	-178.56
55.1033	90.48	603.619224	-4.55233e-06	-5.21543e-08	4.56351e-06	-178.83
56.1103	90.49	603.685937	-5.0925e-06	2.45871e-07	5.07015e-06	177.546
57.1175	90.5	603.75265	-4.88016e-06	2.98025e-08	4.84663e-06	179.448
58.1247	90.51	603.819363	-4.60821e-06	-2.23518e-07	4.63056e-06	-177.03
59.1332	90.52	603.8860759999999	-4.54116e-06	-3.87432e-07	4.53371e-06	-174.978
60.173	90.53	603.9527889999999	-5.20426e-06	-4.47037e-07	5.23406e-06	-175.41
61.197	90.54	604.019502	-4.24686e-06	-1.11759e-08	4.28784e-06	-179.688
62.2191	90.55	604.0862149999999	-5.02917e-06	-3.31553e-07	5.04407e-06	-176.676
63.2438	90.56	604.152928	-4.54861e-06	2.3842e-07	4.54861e-06	177.186
64.2675	90.57	604.2196409999999	-4.84291e-06	1.71364e-07	4.80193e-06	177.93
65.2901	90.58	604.286354	-4.29529e-06	-4.32135e-07	4.36979e-06	-174.486
66.3145	90.59	604.353067	-5.13348e-06	-2.83124e-07	5.1074e-06	-177.078
67.3377	90.6	604.41978	-4.39215e-06	1.11759e-07	4.46293e-06	178.212
68.3608	90.61	604.486493	-4.97702e-06	-2.60771e-08	4.96584e-06	-179.886
69.3837	90.62	604.553206	-4.63802e-06	-1.30386e-07	4.61939e-06	-178.098
70.393	90.63	604.619919	-4.25059e-06	8.94074e-08	4.27294e-06	178.44
71.3998	90.64	604.6866319999999	-4.27294e-06	3.05476e-07	4.31019e-06	176.334
72.4068	90.65	604.753345	-4.84291e-06	1.8254e-07	4.82428e-06	178.02
73.4155	90.66	604.8200579999999	-5.28994e-06	3.35278e-07	5.30484e-06	176.37
74.438	90.67	604.886771	-4.29156e-06	1.1921e-07	4.25059e-06	178.554
75.4628	90.68	604.953484	-4.99937e-06	2.98025e-08	4.99192e-06	179.538
