Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.085	90.0	600.4169999999999	-1.27312e-05	-4.47037e-07	1.27461e-05	-178.014
7.1562	90.01	600.483713	-1.1921e-05	-2.01167e-07	1.1921e-05	-178.806
8.1959	90.02	600.5504259999999	-1.23866e-05	-2.83124e-07	1.23941e-05	-178.704
9.2344	90.03	600.617139	-1.20029e-05	-4.47037e-08	1.20421e-05	179.91
10.2425	90.04	600.683852	-1.25934e-05	-1.78815e-07	1.25804e-05	-179.142
11.2657	90.05	600.7505649999999	-1.21073e-05	-1.63914e-07	1.21482e-05	-179.01
12.2895	90.06	600.817278	-1.21259e-05	-7.97216e-07	1.21352e-05	-176.49
13.3138	90.07	600.8839909999999	-1.19452e-05	-7.76727e-07	1.19713e-05	-176.412
14.337	90.08	600.950704	-1.22619e-05	-5.66248e-07	1.23364e-05	-177.414
15.3773	90.09	601.017417	-1.19378e-05	-1.35974e-07	1.19247e-05	-179.502
16.3993	90.1	601.08413	-1.27368e-05	-4.91742e-07	1.27238e-05	-177.576
17.4086	90.11	601.150843	-1.2178e-05	-2.81261e-07	1.21445e-05	-178.758
18.4154	90.12	601.217556	-1.22637e-05	-1.11759e-07	1.226e-05	-179.766
19.4226	90.13	601.2842689999999	-1.22395e-05	-3.94883e-07	1.22395e-05	-177.954
20.4305	90.14	601.3509819999999	-1.1934e-05	-4.06058e-07	1.18819e-05	-178.092
21.4529	90.15	601.417695	-1.1988e-05	-5.62522e-07	1.20067e-05	-177.288
22.4617	90.16	601.4844079999999	-1.20812e-05	-5.886e-07	1.2083e-05	-177.198
23.4685	90.17	601.551121	-1.18744e-05	1.76952e-07	1.19303e-05	178.98
24.477	90.18	601.617834	-1.19433e-05	-2.98025e-08	1.19266e-05	-179.97
25.4845	90.19	601.684547	-1.20048e-05	-3.46454e-07	1.20309e-05	-178.338
26.492	90.2	601.75126	-1.20253e-05	-4.45174e-07	1.20234e-05	-177.966
27.531	90.21	601.8179729999999	-1.26567e-05	-4.2096e-07	1.26977e-05	-178.128
28.5551	90.22	601.884686	-1.21724e-05	1.73227e-07	1.21315e-05	179.1
29.5792	90.23	601.951399	-1.18241e-05	-2.60772e-07	1.17943e-05	-178.818
30.6028	90.24	602.018112	-1.19415e-05	-3.61355e-07	1.1988e-05	-178.248
31.6093	90.25	602.0848249999999	-1.22619e-05	-5.58797e-07	1.22209e-05	-177.336
32.6163	90.26	602.151538	-1.19508e-05	-5.58796e-08	1.19359e-05	-179.76
33.6248	90.27	602.2182509999999	-1.21948e-05	-3.85569e-07	1.22302e-05	-178.182
34.6322	90.28	602.284964	-1.21501e-05	-2.98025e-07	1.2111e-05	-178.608
35.639	90.29	602.351677	-1.21948e-05	-3.68806e-07	1.22395e-05	-178.404
36.6471	90.3	602.4183899999999	-1.19098e-05	1.15484e-07	1.19303e-05	179.544
37.6549	90.31	602.485103	-1.18241e-05	-4.86154e-07	1.18353e-05	-177.648
38.6627	90.32	602.5518159999999	-1.20812e-05	-3.78119e-07	1.2083e-05	-178.308
39.6692	90.33	602.618529	-1.25319e-05	-4.2096e-07	1.25114e-05	-177.996
40.6938	90.34	602.685242	-1.21091e-05	-5.3272e-07	1.21855e-05	-177.456
41.7012	90.35	602.751955	-1.35787e-05	-2.53322e-07	1.35638e-05	-178.962
42.7238	90.36	602.818668	-1.2558e-05	-4.43311e-07	1.25543e-05	-177.762
43.748	90.37	602.8853809999999	-1.24742e-05	-4.04196e-07	1.24388e-05	-178.11
44.7721	90.38	602.9520939999999	-1.19415e-05	-5.77422e-08	1.19228e-05	-179.586
