Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0703	90.0	600.4169999999999	-1.1649e-05	-2.83124e-07	1.17124e-05	-178.878
7.141	90.01	600.483713	-1.17906e-05	-1.45287e-07	1.17943e-05	-179.268
8.1644	90.02	600.5504259999999	-1.06134e-05	-3.31553e-07	1.06693e-05	-178.266
9.1884	90.03	600.617139	-1.11834e-05	-5.66248e-07	1.112e-05	-177.156
10.2277	90.04	600.683852	-1.06209e-05	-3.35278e-07	1.0632e-05	-178.242
11.2516	90.05	600.7505649999999	-1.15038e-05	-3.68806e-07	1.15522e-05	-178.086
12.2747	90.06	600.817278	-1.21855e-05	2.71948e-07	1.21743e-05	178.758
13.2986	90.07	600.8839909999999	-1.18428e-05	5.21543e-08	1.18428e-05	179.76
14.3065	90.08	600.950704	-1.11908e-05	-2.90574e-07	1.1243e-05	-178.614
15.3463	90.09	601.017417	-1.09338e-05	-3.0175e-07	1.08705e-05	-178.188
16.3543	90.1	601.08413	-1.12691e-05	-2.68223e-07	1.12802e-05	-178.902
17.3611	90.11	601.150843	-1.1962e-05	-4.69388e-07	1.20551e-05	-177.66
18.3691	90.12	601.217556	-1.1474e-05	-2.23519e-08	1.14814e-05	-179.718
19.3757	90.13	601.2842689999999	-1.12095e-05	-7.0781e-08	1.11648e-05	-179.64
20.3838	90.14	601.3509819999999	-1.20663e-05	-7.45062e-07	1.21222e-05	-176.328
21.391	90.15	601.417695	-1.13622e-05	-3.98608e-07	1.13734e-05	-178.206
22.4156	90.16	601.4844079999999	-1.19769e-05	-2.42146e-07	1.18726e-05	-178.644
23.4383	90.17	601.551121	-1.11461e-05	-1.8254e-07	1.11312e-05	-179.196
24.4622	90.18	601.617834	-1.19247e-05	-1.04309e-07	1.19694e-05	-179.52
25.5017	90.19	601.684547	-1.06283e-05	-3.46454e-07	1.05762e-05	-178.14
26.541	90.2	601.75126	-1.16304e-05	-2.75673e-07	1.16528e-05	-178.854
