# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:16:36
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.15253676
0.01465559	-24.63947851
0.02931119	-39.53424527
0.04396678	-31.53115393
0.05862238	-38.61463889
0.07327797	-34.99029154
0.08793357	-42.02323306
0.10258916	-39.57630434
0.11724476	-37.66687878
0.13190035	-30.85864788
0.14655594	-38.31550570
0.16121154	-31.82020564
0.17586713	-25.13579893
0.19052273	-23.46930755
0.20517832	-29.16801264
0.21983392	-18.60819502
0.23448951	-16.17602088
0.24914511	-18.96254862
0.26380070	-21.27427263
0.27845629	-15.24914602
0.29311189	-13.28568039
0.30776748	-16.75238936
0.32242308	-15.85439771
0.33707867	-9.88537903
0.35173427	-8.51720316
0.36638986	-12.99222242
0.38104546	-11.41027658
0.39570105	-6.78853806
0.41035665	-6.54677387
0.42501224	-10.52317073
0.43966783	-7.80484799
0.45432343	-3.18610239
0.46897902	-3.53216256
0.48363462	-7.72459807
0.49829021	-5.11806240
0.51294581	-1.93155130
0.52760140	-3.24790972
0.54225700	-7.23736877
0.55691259	-3.69973232
0.57156818	-0.25750099
0.58622378	-1.57817076
0.60087937	-5.82660265
0.61553497	-1.73513171
0.63019056	-0.21871179
0.64484616	-2.73177159
0.65950175	-6.02555543
0.67415735	-1.39662343
0.68881294	0.00000000
0.70346853	-2.77888519
0.71812413	-4.99503362
0.73277972	-1.00156369
0.74743532	-0.79733571
0.76209091	-4.74483627
0.77674651	-5.48001221
0.79140210	-1.58605949
0.80605770	-1.21980346
0.82071329	-5.18000729
0.83536888	-4.32932076
0.85002448	-1.26443817
0.86468007	-2.38751771
0.87933567	-6.91890689
0.89399126	-4.97776088
0.90864686	-2.35016594
0.92330245	-3.82403833
0.93795805	-7.24718654
0.95261364	-4.27486146
0.96726924	-2.85300257
0.98192483	-5.97869192
0.99658042	-9.40104650
1.01123602	-6.04354785
1.02589161	-5.19082937
1.04054721	-8.08344592
1.05520280	-9.00333929
1.06985840	-5.45856916
1.08451399	-6.29283330
1.09916959	-11.42283732
1.11382518	-10.13953060
1.12848077	-7.48722825
1.14313637	-8.82294606
1.15779196	-13.05301308
1.17244756	-9.75729333
1.18710315	-7.80714741
1.20175875	-10.82862191
1.21641434	-13.55376234
1.23106994	-11.06243493
1.24572553	-11.38784469
1.26038112	-14.62034872
1.27503672	-14.52714372
1.28969231	-11.50999377
1.30434791	-12.84028651
1.31900350	-16.61522276
1.33365910	-15.08948268
1.34831469	-14.37124729
1.36297029	-17.53878029
1.37762588	-19.40989685
1.39228147	-16.17600797
1.40693707	-16.95992435
1.42159266	-20.39364533
1.43624826	-18.96495443
1.45090385	-17.86243261
1.46555945	-20.47045731
1.48021504	-23.69396904
1.49487064	-21.61795377
1.50952623	-21.09333582
1.52418183	-23.69751439
1.53883742	-24.15361965
1.55349301	-22.75748449
1.56814861	-24.94728022
1.58280420	-28.41546842
1.59745980	-27.88526640
1.61211539	-27.47411869
1.62677099	-29.51113376
1.64142658	-29.48137771
1.65608218	-28.88917823
1.67073777	-32.96528943
1.68539336	-33.32827385
1.70004896	-31.70006248
1.71470455	-34.39576853
1.72936015	-36.38862616
1.74401574	-34.15937148
1.75867134	-33.28856754
1.77332693	-35.02683156
1.78798253	-36.55129489
1.80263812	-36.26777219
1.81729371	-37.35576774
1.83194931	-39.09761676
1.84660490	-38.61097572
1.86126050	-38.92060150
1.87591609	-40.36632082
1.89057169	-40.11624557
1.90522728	-41.35572040
1.91988288	-43.53815777
1.93453847	-43.25303816
1.94919406	-44.02363937
1.96384966	-45.38910208
1.97850525	-45.40891054
1.99316085	-45.85942551
2.00781644	-48.04031161
2.02247204	-50.32346411
2.03712763	-51.82989804
2.05178323	-53.44174978
2.06643882	-55.09903215
2.08109442	-58.22014714
2.09575001	-59.57705905
2.11040560	-63.40317476
2.12506120	-72.77917321
2.13971679	-66.69246308
2.15437239	-63.20827993
2.16902798	-64.08541662
2.18368358	-62.09361241
2.19833917	-60.03406078
2.21299477	-59.23761765
2.22765036	-60.37830302
2.24230595	-60.08810283
2.25696155	-57.60879143
2.27161714	-58.35652833
2.28627274	-59.10768189
2.30092833	-59.59709072
2.31558393	-59.64100301
2.33023952	-59.91256635
2.34489512	-62.73033658
2.35955071	-62.96395528
2.37420630	-62.41893749
2.38886190	-62.40804904
2.40351749	-63.71785061
2.41817309	-63.35707290
2.43282868	-62.32810781
2.44748428	-63.82547683
2.46213987	-64.35050013
2.47679547	-65.72379234
2.49145106	-64.75795710
2.50610665	-64.66162186
2.52076225	-65.61454904
2.53541784	-65.16826683
2.55007344	-66.18401868
2.56472903	-64.22463524
2.57938463	-64.59618099
2.59404022	-64.37518567
2.60869582	-64.37355425
2.62335141	-66.59272852
2.63800701	-65.42441350
2.65266260	-65.71447522
2.66731819	-65.78450534
2.68197379	-66.74880956
2.69662938	-66.87107005
2.71128498	-66.12246829
2.72594057	-68.16210028
2.74059617	-68.58507380
2.75525176	-66.71131770
2.76990736	-67.58582986
2.78456295	-67.96814903
2.79921854	-66.70551756
2.81387414	-67.81130055
2.82852973	-67.58707238
2.84318533	-67.42771763
2.85784092	-68.49369363
2.87249652	-68.06070833
2.88715211	-69.88141556
2.90180771	-67.90549233
2.91646330	-68.28626091
2.93111889	-70.99854301
2.94577449	-70.54113799
2.96043008	-71.46943418
2.97508568	-71.83318624
2.98974127	-72.44986914
3.00439687	-69.81840487
3.01905246	-71.08250254
3.03370806	-77.30986339
3.04836365	-69.60251652
3.06301924	-70.38264704
3.07767484	-72.59906693
3.09233043	-72.45856811
3.10698603	-72.96609920
3.12164162	-71.50398205
3.13629722	-74.90637017
3.15095281	-74.93822804
3.16560841	-75.17121054
3.18026400	-80.68409169
3.19491960	-75.36478952
3.20957519	-74.06837205
3.22423078	-73.91373062
3.23888638	-73.39811716
3.25354197	-76.54535901
3.26819757	-80.44591177
3.28285316	-80.46784908
3.29750876	-89.53244537
3.31216435	-80.77447862
3.32681995	-76.32423815
3.34147554	-77.86870239
3.35613113	-80.14818276
3.37078673	-78.87951736
3.38544232	-79.22840513
3.40009792	-85.27530786
3.41475351	-89.02824577
3.42940911	-80.94120391
3.44406470	-83.51486411
3.45872030	-85.55679991
3.47337589	-76.85143803
3.48803148	-75.47517141
3.50268708	-81.02347380
3.51734267	-91.46931462
3.53199827	-80.55440360
3.54665386	-85.39456974
3.56130946	-84.58492420
3.57596505	-80.13801819
3.59062065	-84.69972405
3.60527624	-92.07670016
3.61993183	-81.01908919
3.63458743	-74.16291946
3.64924302	-75.43554922
3.66389862	-90.46393721
3.67855421	-78.19994322
3.69320981	-86.69327781
3.70786540	-90.79165124
3.72252100	-85.14732173
3.73717659	-82.24582251
3.75183219	-82.45650145
3.76648778	-82.07970385
3.78114337	-79.07871963
3.79579897	-80.79579276
3.81045456	-82.40103167
3.82511016	-88.18115033
3.83976575	-87.78918598
3.85442135	-88.62925784
3.86907694	-83.78264889
3.88373254	-86.62423144
3.89838813	-100.79149153
3.91304372	-87.98368503
3.92769932	-86.98066507
3.94235491	-88.47931959
3.95701051	-91.69740756
3.97166610	-84.23912354
3.98632170	-81.32445624
4.00097729	-81.38873788
4.01563289	-79.31201899
4.03028848	-85.23488325
4.04494407	-90.07817921
4.05959967	-89.03656869
4.07425526	-88.77935222
4.08891086	-97.88093383
4.10356645	-87.94439669
4.11822205	-81.03510153
4.13287764	-85.16482133
4.14753324	-78.07704889
4.16218883	-80.83124608
4.17684442	-86.56534243
4.19150002	-78.40738162
4.20615561	-83.48200925
4.22081121	-85.16168688
4.23546680	-78.97712312
4.25012240	-84.08605226
4.26477799	-89.43759755
4.27943359	-84.21441146
4.29408918	-88.65591475
4.30874478	-85.11053433
4.32340037	-79.07416176
4.33805596	-82.32695998
4.35271156	-77.29443765
4.36736715	-77.96537994
4.38202275	-81.72349121
4.39667834	-78.71253227
4.41133394	-80.84300378
4.42598953	-81.79273338
4.44064513	-78.56915098
4.45530072	-84.13941227
4.46995631	-81.28744831
4.48461191	-83.92316630
4.49926750	-86.11280294
4.51392310	-94.68635014
4.52857869	-83.89434228
4.54323429	-89.26142338
4.55788988	-77.76349647
4.57254548	-82.17249627
4.58720107	-86.53604838
4.60185666	-78.85775391
4.61651226	-78.74667785
4.63116785	-92.25953444
4.64582345	-82.89713271
4.66047904	-85.66569955
4.67513464	-82.17871734
4.68979023	-77.45557615
4.70444583	-78.56320223
4.71910142	-83.11006869
4.73375701	-85.28982879
4.74841261	-86.31715143
4.76306820	-84.65970392
4.77772380	-79.35325466
4.79237939	-79.54465595
4.80703499	-86.75743274
4.82169058	-99.84805990
4.83634618	-88.75846273
4.85100177	-84.24996362
4.86565736	-98.97854369
4.88031296	-83.88304829
