# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:51:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.06971785
0.01465569	-24.65164760
0.02931137	-39.26353090
0.04396706	-31.33492404
0.05862274	-38.07272307
0.07327843	-34.83572609
0.08793412	-41.60026202
0.10258980	-39.18904386
0.11724549	-38.05295646
0.13190118	-30.88719455
0.14655686	-37.77754169
0.16121255	-32.07916960
0.17586823	-25.46890570
0.19052392	-23.68770270
0.20517961	-29.32173867
0.21983529	-18.85305717
0.23449098	-16.42237211
0.24914667	-19.17753701
0.26380235	-21.56021264
0.27845804	-15.45875423
0.29311372	-13.46444997
0.30776941	-16.89697252
0.32242510	-15.98566747
0.33708078	-9.93412060
0.35173647	-8.53427039
0.36639215	-13.06416655
0.38104784	-11.36222099
0.39570353	-6.73275579
0.41035921	-6.50938575
0.42501490	-10.55146717
0.43967059	-7.73901181
0.45432627	-3.12943384
0.46898196	-3.51320644
0.48363764	-7.75937981
0.49829333	-5.04687847
0.51294902	-1.88040374
0.52760470	-3.25875846
0.54226039	-7.27903412
0.55691607	-3.62717224
0.57157176	-0.22620631
0.58622745	-1.60004538
0.60088313	-5.84866618
0.61553882	-1.67500218
0.63019451	-0.19370703
0.64485019	-2.75508687
0.65950588	-6.02651789
0.67416156	-1.35798239
0.68881725	0.00000000
0.70347294	-2.81517921
0.71812862	-4.96166276
0.73278431	-0.99842799
0.74744000	-0.82228259
0.76209568	-4.79432728
0.77675137	-5.47049087
0.79140705	-1.59782526
0.80606274	-1.25691050
0.82071843	-5.23511075
0.83537411	-4.33056855
0.85002980	-1.29382855
0.86468548	-2.44609414
0.87934117	-6.95758811
0.89399686	-4.98718826
0.90865254	-2.38691729
0.92330823	-3.88884383
0.93796392	-7.24167726
0.95261960	-4.29245714
0.96727529	-2.89691782
0.98193097	-6.02672242
0.99658666	-9.44320051
1.01124235	-6.06009399
1.02589803	-5.22650997
1.04055372	-8.11623643
1.05520940	-9.00740771
1.06986509	-5.49277015
1.08452078	-6.35618266
1.09917646	-11.44706741
1.11383215	-10.13013979
1.12848784	-7.52911329
1.14314352	-8.88653997
1.15779921	-13.05088619
1.17245489	-9.78848405
1.18711058	-7.87546898
1.20176627	-10.87052446
1.21642195	-13.63285522
1.23107764	-11.13596001
1.24573333	-11.46362074
1.26038901	-14.70334639
1.27504470	-14.60996505
1.28970038	-11.61842662
1.30435607	-12.97414854
1.31901176	-16.75450203
1.33366744	-15.16171766
1.34832313	-14.50219093
1.36297881	-17.71315560
1.37763450	-19.55247585
1.39229019	-16.34683484
1.40694587	-17.14523902
1.42160156	-20.48145184
1.43625725	-19.13641857
1.45091293	-18.09068712
1.46556862	-20.67943106
1.48022430	-23.92208654
1.49487999	-21.85440361
1.50953568	-21.32805155
1.52419136	-23.89826827
1.53884705	-24.43696805
1.55350274	-22.97800420
1.56815842	-25.08607615
1.58281411	-28.60109614
1.59746979	-28.08422359
1.61212548	-27.73398618
1.62678117	-29.74294527
1.64143685	-29.64802190
1.65609254	-29.03567128
1.67074822	-33.01310706
1.68540391	-33.43487555
1.70005960	-31.85463945
1.71471528	-34.57692669
1.72937097	-36.56788497
1.74402666	-34.32666587
1.75868234	-33.47754166
1.77333803	-35.24743900
1.78799371	-36.69221098
1.80264940	-36.41570349
1.81730509	-37.45624256
1.83196077	-39.09925477
1.84661646	-38.87702070
1.86127214	-39.24225157
1.87592783	-40.52781443
1.89058352	-40.31136929
1.90523920	-41.53981089
1.91989489	-43.76350334
1.93455058	-43.69907256
1.94920626	-44.54362452
1.96386195	-46.03855278
1.97851763	-45.82407985
1.99317332	-46.19228968
2.00782901	-48.48059678
2.02248469	-50.86130667
2.03714038	-52.48405091
2.05179607	-53.98181827
2.06645175	-56.31466801
2.08110744	-60.64690798
2.09576312	-61.35259733
2.11041881	-64.05965177
2.12507450	-69.53953730
2.13973018	-65.89400619
2.15438587	-61.93889861
2.16904155	-62.41912124
2.18369724	-61.92709919
2.19835293	-59.28407616
2.21300861	-58.42698793
2.22766430	-59.00084220
2.24231999	-59.34956106
2.25697567	-58.22920679
2.27163136	-58.83035314
2.28628704	-59.92218044
2.30094273	-59.65405098
2.31559842	-59.64479091
2.33025410	-60.20150632
2.34490979	-61.67022967
2.35956547	-62.29833030
2.37422116	-61.67526333
2.38887685	-62.45649865
2.40353253	-63.14515419
2.41818822	-62.82320411
2.43284391	-61.97696984
2.44749959	-62.00796877
2.46215528	-64.05117548
2.47681096	-63.34238604
2.49146665	-63.43915919
2.50612234	-65.02746771
2.52077802	-64.90325397
2.53543371	-64.80057306
2.55008940	-63.94126265
2.56474508	-64.36054721
2.57940077	-64.82977142
