# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:19:48
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.29530571
0.01465559	-24.75845661
0.02931119	-40.05391754
0.04396678	-31.61628605
0.05862238	-38.59453450
0.07327797	-35.07291715
0.08793356	-41.83849644
0.10258916	-39.71379438
0.11724475	-37.64100602
0.13190034	-30.83405839
0.14655594	-38.08381181
0.16121153	-31.84393566
0.17586713	-25.14190469
0.19052272	-23.52063909
0.20517831	-29.17453928
0.21983391	-18.60906267
0.23448950	-16.17749713
0.24914510	-18.98039285
0.26380069	-21.27804610
0.27845628	-15.25049541
0.29311188	-13.30097723
0.30776747	-16.74979413
0.32242306	-15.86991610
0.33707866	-9.88290077
0.35173425	-8.51123460
0.36638985	-12.99126927
0.38104544	-11.40865546
0.39570103	-6.78347904
0.41035663	-6.54085327
0.42501222	-10.52105991
0.43966781	-7.79945911
0.45432341	-3.18100715
0.46897900	-3.52822485
0.48363460	-7.71996541
0.49829019	-5.11306000
0.51294578	-1.92870879
0.52760138	-3.24329051
0.54225697	-7.23585477
0.55691257	-3.69749216
0.57156816	-0.25675430
0.58622375	-1.57777045
0.60087935	-5.82729211
0.61553494	-1.73727846
0.63019053	-0.21865218
0.64484613	-2.72997732
0.65950172	-6.03165642
0.67415732	-1.40162530
0.68881291	0.00000000
0.70346850	-2.77608423
0.71812410	-4.99417106
0.73277969	-1.00593997
0.74743529	-0.79715202
0.76209088	-4.73945492
0.77674647	-5.48662492
0.79140207	-1.58927444
0.80605766	-1.21911267
0.82071325	-5.17548096
0.83536885	-4.33713596
0.85002444	-1.26603303
0.86468004	-2.38586056
0.87933563	-6.91420101
0.89399122	-4.98299687
0.90864682	-2.35290848
0.92330241	-3.82385503
0.93795801	-7.24572529
0.95261360	-4.27889844
0.96726919	-2.85421769
0.98192479	-5.97070722
0.99658038	-9.40333385
1.01123597	-6.04733668
1.02589157	-5.18848412
1.04054716	-8.06970531
1.05520276	-9.00389796
1.06985835	-5.45763509
1.08451394	-6.28298735
1.09916954	-11.40652942
1.11382513	-10.13435962
1.12848072	-7.47864288
1.14313632	-8.81012774
1.15779191	-13.04084287
1.17244751	-9.74790704
1.18710310	-7.79632355
1.20175869	-10.80877121
1.21641429	-13.53971116
1.23106988	-11.05375387
1.24572548	-11.36974532
1.26038107	-14.59141810
1.27503666	-14.52746852
