# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:36:30
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.34927031	0.00000000
-402.31593719	0.00000006
-402.28260406	0.00000069
-402.24927094	0.00000232
-402.21593782	0.00000490
-402.18260470	0.00001096
-402.14927157	0.00001613
-402.11593845	0.00002592
-402.08260533	0.00003255
-402.04927221	0.00004873
-402.01593908	0.00006123
-401.98260596	0.00006973
-401.94927284	0.00007007
-401.91593971	0.00006649
-401.88260659	0.00006402
-401.84927347	0.00005456
-401.81594035	0.00003781
-401.78260722	0.00002427
-401.74927410	-0.00000064
-401.71594098	-0.00003363
-401.68260786	-0.00006068
-401.64927473	-0.00012920
-401.61594161	-0.00018504
-401.58260849	-0.00025276
-401.54927537	-0.00030167
-401.51594224	-0.00038740
-401.48260912	-0.00046411
-401.44927600	-0.00056435
-401.41594288	-0.00059155
-401.38260975	-0.00063410
-401.34927663	-0.00075883
-401.31594351	-0.00082488
-401.28261039	-0.00093589
-401.24927726	-0.00104868
-401.21594414	-0.00109969
-401.18261102	-0.00122236
-401.14927790	-0.00116518
-401.11594477	-0.00128319
-401.08261165	-0.00124208
-401.04927853	-0.00125268
-401.01594541	-0.00121066
-400.98261228	-0.00089436
-400.94927916	-0.00084354
-400.91594604	-0.00066509
-400.88261292	-0.00041481
-400.84927979	-0.00015119
-400.81594667	0.00008600
-400.78261355	0.00051794
-400.74928042	0.00070665
-400.71594730	0.00111731
-400.68261418	0.00129237
-400.64928106	0.00156816
-400.61594793	0.00166704
-400.58261481	0.00177488
-400.54928169	0.00182192
-400.51594857	0.00184957
-400.48261544	0.00176142
-400.44928232	0.00147542
-400.41594920	0.00118889
-400.38261608	0.00101591
-400.34928295	0.00069110
-400.31594983	0.00026290
-400.28261671	-0.00009752
-400.24928359	-0.00044922
-400.21595046	-0.00064580
-400.18261734	-0.00094470
-400.14928422	-0.00105906
-400.11595110	-0.00134037
-400.08261797	-0.00154589
-400.04928485	-0.00148221
-400.01595173	-0.00149349
-399.98261861	-0.00146492
-399.94928548	-0.00151490
-399.91595236	-0.00138929
-399.88261924	-0.00120888
-399.84928612	-0.00120714
-399.81595299	-0.00102223
-399.78261987	-0.00097116
-399.74928675	-0.00102907
-399.71595363	-0.00092123
-399.68262050	-0.00082879
-399.64928738	-0.00080429
-399.61595426	-0.00089319
-399.58262113	-0.00083455
-399.54928801	-0.00075604
-399.51595489	-0.00080997
-399.48262177	-0.00065666
-399.44928864	-0.00073753
-399.41595552	-0.00072498
-399.38262240	-0.00065932
-399.34928928	-0.00057290
-399.31595615	-0.00059680
-399.28262303	-0.00044164
-399.24928991	-0.00055753
-399.21595679	-0.00061473
-399.18262366	-0.00053221
-399.14929054	-0.00061664
-399.11595742	-0.00062525
-399.08262430	-0.00081712
-399.04929117	-0.00070059
-399.01595805	-0.00060505
-398.98262493	-0.00076776
-398.94929181	-0.00077427
-398.91595868	-0.00060322
-398.88262556	-0.00068891
-398.84929244	-0.00070157
-398.81595932	-0.00068706
-398.78262619	-0.00067836
-398.74929307	-0.00065492
-398.71595995	-0.00060851
-398.68262683	-0.00061100
-398.64929370	-0.00048764
-398.61596058	-0.00054048
-398.58262746	-0.00048852
-398.54929434	-0.00030913
-398.51596121	-0.00049480
-398.48262809	-0.00041724
-398.44929497	-0.00040727
-398.41596184	-0.00050306
-398.38262872	-0.00047193
-398.34929560	-0.00044929
-398.31596248	-0.00038359
-398.28262935	-0.00035312
-398.24929623	-0.00044399
-398.21596311	-0.00052463
-398.18262999	-0.00046986
-398.14929686	-0.00058784
-398.11596374	-0.00055492
-398.08263062	-0.00050312
-398.04929750	-0.00061187
-398.01596437	-0.00054364
-397.98263125	-0.00061122
-397.94929813	-0.00074122
-397.91596501	-0.00072939
-397.88263188	-0.00074665
-397.84929876	-0.00077497
-397.81596564	-0.00061918
-397.78263252	-0.00070949
-397.74929939	-0.00082247
-397.71596627	-0.00082979
-397.68263315	-0.00078659
-397.64930003	-0.00088041
-397.61596690	-0.00083053
-397.58263378	-0.00097275
-397.54930066	-0.00098458
-397.51596754	-0.00095902
-397.48263441	-0.00107212
-397.44930129	-0.00102026
-397.41596817	-0.00100209
-397.38263505	-0.00111007
-397.34930192	-0.00114239
-397.31596880	-0.00115242
-397.28263568	-0.00129968
-397.24930255	-0.00125243
-397.21596943	-0.00129899
-397.18263631	-0.00141113
-397.14930319	-0.00147132
-397.11597006	-0.00143637
-397.08263694	-0.00164392
-397.04930382	-0.00171483
-397.01597070	-0.00191883
-396.98263757	-0.00205321
-396.94930445	-0.00223131
-396.91597133	-0.00239832
-396.88263821	-0.00264232
-396.84930508	-0.00294300
-396.81597196	-0.00287763
-396.78263884	-0.00324696
-396.74930572	-0.00340111
-396.71597259	-0.00349867
-396.68263947	-0.00364842
-396.64930635	-0.00386268
-396.61597323	-0.00393317
-396.58264010	-0.00396088
-396.54930698	-0.00382340
-396.51597386	-0.00376405
-396.48264074	-0.00352084
-396.44930761	-0.00298162
-396.41597449	-0.00257469
-396.38264137	-0.00217014
-396.34930825	-0.00153793
-396.31597512	-0.00081862
-396.28264200	-0.00016385
-396.24930888	0.00068867
-396.21597576	0.00147564
-396.18264263	0.00224137
-396.14930951	0.00296545
-396.11597639	0.00360516
-396.08264326	0.00395382
-396.04931014	0.00418201
-396.01597702	0.00422527
-395.98264390	0.00407497
-395.94931077	0.00363481
-395.91597765	0.00304847
-395.88264453	0.00220889
-395.84931141	0.00115511
-395.81597828	-0.00003068
-395.78264516	-0.00138600
-395.74931204	-0.00282022
-395.71597892	-0.00421291
-395.68264579	-0.00545389
-395.64931267	-0.00669191
-395.61597955	-0.00774768
-395.58264643	-0.00891220
-395.54931330	-0.00945496
-395.51598018	-0.00988887
-395.48264706	-0.01014367
-395.44931394	-0.01001695
-395.41598081	-0.00971696
-395.38264769	-0.00909939
-395.34931457	-0.00860154
-395.31598145	-0.00790186
-395.28264832	-0.00699345
-395.24931520	-0.00609465
-395.21598208	-0.00510584
-395.18264896	-0.00425788
-395.14931583	-0.00339340
-395.11598271	-0.00250327
-395.08264959	-0.00178967
-395.04931647	-0.00073394
-395.01598334	0.00006511
-394.98265022	0.00105321
-394.94931710	0.00210041
-394.91598397	0.00343939
-394.88265085	0.00482749
-394.84931773	0.00650732
-394.81598461	0.00836784
-394.78265148	0.01048688
-394.74931836	0.01297144
-394.71598524	0.01598387
-394.68265212	0.01917298
-394.64931899	0.02245497
-394.61598587	0.02629588
-394.58265275	0.03027276
-394.54931963	0.03459556
-394.51598650	0.03896063
-394.48265338	0.04385209
-394.44932026	0.04894268
-394.41598714	0.05428605
-394.38265401	0.05969224
-394.34932089	0.06536270
-394.31598777	0.07133525
-394.28265465	0.07724701
-394.24932152	0.08322190
-394.21598840	0.08924768
-394.18265528	0.09502623
-394.14932216	0.10049345
-394.11598903	0.10569249
-394.08265591	0.11010111
-394.04932279	0.11379784
-394.01598967	0.11637632
-393.98265654	0.11739836
-393.94932342	0.11686078
-393.91599030	0.11423132
-393.88265718	0.10896512
-393.84932405	0.10102158
-393.81599093	0.08970917
-393.78265781	0.07484279
-393.74932469	0.05597333
-393.71599156	0.03272380
-393.68265844	0.00493740
-393.64932532	-0.02771650
-393.61599219	-0.06547651
-393.58265907	-0.10797605
-393.54932595	-0.15525284
-393.51599283	-0.20696082
-393.48265970	-0.26247947
-393.44932658	-0.32064451
-393.41599346	-0.38070387
-393.38266034	-0.44113660
-393.34932721	-0.50027451
-393.31599409	-0.55613805
-393.28266097	-0.60648345
-393.24932785	-0.64933509
-393.21599472	-0.68184573
-393.18266160	-0.70168057
-393.14932848	-0.70645437
-393.11599536	-0.69427687
-393.08266223	-0.66322388
-393.04932911	-0.61245491
-393.01599599	-0.54147991
-392.98266287	-0.44999858
-392.94932974	-0.33952198
-392.91599662	-0.21244807
-392.88266350	-0.07177548
-392.84933038	0.07975239
-392.81599725	0.23757287
-392.78266413	0.39571514
-392.74933101	0.54911972
-392.71599789	0.69305241
-392.68266476	0.82148718
