# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:08:15
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.17790688
0.01465559	-24.63964517
0.02931119	-39.69359788
0.04396678	-31.71683774
0.05862238	-38.96601403
0.07327797	-35.25641681
0.08793357	-42.18566849
0.10258916	-39.99729821
0.11724476	-37.74065144
0.13190035	-30.93737741
0.14655594	-38.31974853
0.16121154	-31.88514041
0.17586713	-25.09272673
0.19052273	-23.43056617
0.20517832	-29.07176028
0.21983392	-18.55966317
0.23448951	-16.14070701
0.24914510	-18.92653338
0.26380070	-21.22010314
0.27845629	-15.20946479
0.29311189	-13.25149435
0.30776748	-16.70608643
0.32242308	-15.82677495
0.33707867	-9.85284618
0.35173427	-8.49187237
0.36638986	-12.98131820
0.38104545	-11.40249607
0.39570105	-6.78011989
0.41035664	-6.54798321
0.42501224	-10.53472280
0.43966783	-7.79285059
0.45432343	-3.18218669
0.46897902	-3.53624653
0.48363461	-7.73528488
0.49829021	-5.10743309
0.51294580	-1.92971234
0.52760140	-3.25204023
0.54225699	-7.23641013
0.55691259	-3.68982642
0.57156818	-0.25607672
0.58622378	-1.58436450
0.60087937	-5.81961634
0.61553496	-1.72360238
0.63019056	-0.21622140
0.64484615	-2.73894149
0.65950175	-6.01529583
0.67415734	-1.38608569
0.68881294	0.00000000
0.70346853	-2.78914513
0.71812412	-4.98520735
0.73277972	-0.99602680
0.74743531	-0.80193580
0.76209091	-4.75198452
0.77674650	-5.45946948
0.79140210	-1.57834828
0.80605769	-1.22374433
0.82071329	-5.18405180
0.83536888	-4.31272709
0.85002447	-1.25915929
0.86468007	-2.39398337
0.87933566	-6.91838252
0.89399126	-4.96085348
0.90864685	-2.34560247
0.92330245	-3.82695344
0.93795804	-7.23931438
0.95261364	-4.26007812
0.96726923	-2.85325861
0.98192482	-5.98791243
0.99658042	-9.38442823
1.01123601	-6.03470688
1.02589161	-5.19672751
1.04054720	-8.09218187
1.05520280	-8.98285832
1.06985839	-5.45272108
1.08451398	-6.30009283
1.09916958	-11.43615623
1.11382517	-10.12539923
1.12848077	-7.48636493
1.14313636	-8.83043214
1.15779196	-13.05835073
1.17244755	-9.74674738
1.18710315	-7.80703070
1.20175874	-10.84631220
1.21641433	-13.54504591
1.23106993	-11.05420365
1.24572552	-11.39104067
1.26038112	-14.61475144
1.27503671	-14.51588710
1.28969231	-11.50802779
1.30434790	-12.84811486
1.31900349	-16.61831272
1.33365909	-15.07774362
1.34831468	-14.37636810
1.36297028	-17.56105157
1.37762587	-19.38663311
1.39228147	-16.15919575
1.40693706	-16.95864118
1.42159266	-20.38189048
1.43624825	-18.94832966
1.45090384	-17.85762739
1.46555944	-20.48124904
1.48021503	-23.70243343
1.49487063	-21.62516190
1.50952622	-21.11678912
1.52418182	-23.69838881
1.53883741	-24.13858639
1.55349300	-22.74578915
1.56814860	-24.91966933
1.58280419	-28.38155574
1.59745979	-27.87122473
1.61211538	-27.48465585
1.62677098	-29.49953394
1.64142657	-29.45970070
1.65608217	-28.90136439
1.67073776	-32.98830206
1.68539335	-33.30904519
1.70004895	-31.69994721
1.71470454	-34.43772618
1.72936014	-36.45696622
1.74401573	-34.19323003
1.75867133	-33.30005233
1.77332692	-35.05947593
1.78798251	-36.53936814
1.80263811	-36.12894573
1.81729370	-37.23194361
1.83194930	-39.04248705
1.84660489	-38.57912272
1.86126049	-38.85051943
1.87591608	-40.30613096
1.89057168	-40.08447234
1.90522727	-41.18780770
1.91988286	-43.43247863
1.93453846	-43.15843531
1.94919405	-44.01144777
1.96384965	-45.54596626
1.97850524	-45.22409608
1.99316084	-45.67716791
2.00781643	-47.77252052
2.02247203	-49.83308813
2.03712762	-51.62051533
2.05178321	-53.35509786
2.06643881	-54.75160093
2.08109440	-57.55834036
2.09575000	-59.06054259
2.11040559	-62.54988348
2.12506119	-75.26246670
2.13971678	-67.04165134
2.15437237	-61.72983406
2.16902797	-61.54128212
2.18368356	-61.98500489
2.19833916	-59.61618143
2.21299475	-58.54641559
2.22765035	-59.64132565
2.24230594	-58.97220478
2.25696154	-57.55194559
2.27161713	-59.10620954
2.28627272	-59.82686048
2.30092832	-59.04821478
2.31558391	-58.93362468
2.33023951	-59.36371811
2.34489510	-61.10856307
2.35955070	-61.20777237
2.37420629	-61.00341194
2.38886188	-62.64300167
2.40351748	-63.16882654
2.41817307	-63.45490222
2.43282867	-63.93827302
2.44748426	-63.79830157
2.46213986	-64.58991848
2.47679545	-63.56937695
2.49145105	-63.84292338
2.50610664	-64.45225216
2.52076223	-64.64462787
2.53541783	-65.48961242
2.55007342	-63.89266932
2.56472902	-65.73536128
2.57938461	-66.25517084
2.59404021	-64.48809980
2.60869580	-65.50971003
2.62335139	-65.02849999
2.63800699	-66.11045353
2.65266258	-64.88499890
2.66731818	-64.51295318
2.68197377	-66.51214785
2.69662937	-66.51324253
2.71128496	-67.11464191
2.72594056	-65.16267081
2.74059615	-66.15198613
2.75525174	-67.67048434
2.76990734	-67.26063539
2.78456293	-69.80255022
2.79921853	-68.08888894
2.81387412	-66.53013442
2.82852972	-67.40658616
2.84318531	-67.30178216
2.85784091	-67.49745898
2.87249650	-69.62669853
2.88715209	-70.78134663
2.90180769	-71.08566169
2.91646328	-74.02061962
2.93111888	-73.89829501
2.94577447	-73.56418024
2.96043007	-71.83352246
2.97508566	-71.32018757
2.98974125	-72.18774469
3.00439685	-71.90156931
3.01905244	-73.23587331
3.03370804	-72.12804695
3.04836363	-74.40647301
3.06301923	-72.21310682
3.07767482	-70.52167201
3.09233042	-75.20138104
3.10698601	-73.05934869
3.12164160	-73.84695421
3.13629720	-83.76159050
3.15095279	-74.15475796
3.16560839	-75.79541475
3.18026398	-78.26406603
3.19491958	-72.31685928
3.20957517	-75.70696285
3.22423076	-78.13801697
3.23888636	-74.43029066
3.25354195	-83.38386991
3.26819755	-84.58987006
3.28285314	-81.00400753
3.29750874	-81.48869045
3.31216433	-83.71596891
3.32681993	-78.67688777
3.34147552	-79.05297327
3.35613111	-82.93181034
3.37078671	-77.82782113
3.38544230	-76.11285381
3.40009790	-74.70698064
3.41475349	-80.96969435
3.42940909	-84.56311112
3.44406468	-81.84841848
3.45872027	-82.22674963
3.47337587	-77.39945966
3.48803146	-78.80561742
3.50268706	-86.64359452
3.51734265	-81.13970889
3.53199825	-92.43138806
3.54665384	-87.93124516
3.56130944	-97.03497458
3.57596503	-89.39098585
3.59062062	-89.99086945
3.60527622	-91.37602236
3.61993181	-91.60489013
3.63458741	-100.82790391
3.64924300	-82.87869576
3.66389860	-82.87824679
3.67855419	-82.96750807
3.69320979	-77.80474363
3.70786538	-80.98069627
3.72252097	-88.23647329
3.73717657	-81.77054509
3.75183216	-80.94859526
3.76648776	-86.89870220
3.78114335	-89.25238484
3.79579895	-87.24578498
3.81045454	-84.10113751
3.82511013	-83.76492691
3.83976573	-86.10986965
3.85442132	-83.35593685
3.86907692	-87.77892173
3.88373251	-98.20238930
3.89838811	-90.81540639
3.91304370	-90.46010126
3.92769930	-83.71918113
3.94235489	-78.35644148
3.95701048	-80.60201154
3.97166608	-82.69319289
3.98632167	-84.28282197
4.00097727	-90.79470128
4.01563286	-84.41207006
4.03028846	-86.64078907
4.04494405	-83.11687812
4.05959964	-112.78997382
4.07425524	-89.63126110
4.08891083	-86.12224746
4.10356643	-81.85205684
4.11822202	-83.99582740
4.13287762	-77.95344378
4.14753321	-90.63997508
4.16218881	-84.81335275
4.17684440	-78.57385306
4.19149999	-78.50489327
4.20615559	-80.36922515
4.22081118	-79.48478963
4.23546678	-83.15864313
4.25012237	-78.97773002
4.26477797	-89.44335144
4.27943356	-86.02647714
4.29408915	-80.76868630
4.30874475	-80.06419647
4.32340034	-87.50753477
4.33805594	-80.59812002
4.35271153	-80.21969507
4.36736713	-79.61391779
4.38202272	-73.09327154
4.39667832	-77.72835925
4.41133391	-93.62219149
4.42598950	-92.37757395
4.44064510	-83.43957743
4.45530069	-83.80824503
4.46995629	-88.24356927
4.48461188	-84.54327661
4.49926748	-91.49979784
4.51392307	-84.00145024
4.52857866	-94.52546308
4.54323426	-82.81380868
4.55788985	-79.43317894
4.57254545	-89.98716374
4.58720104	-81.77669430
4.60185664	-84.58364460
4.61651223	-88.00710284
4.63116783	-80.36947112
4.64582342	-86.53268242
4.66047901	-79.79449472
4.67513461	-76.66448935
4.68979020	-82.74193103
4.70444580	-82.95212716
4.71910139	-85.49604409
4.73375699	-79.06680099
4.74841258	-82.52249872
4.76306818	-86.91668570
4.77772377	-88.92979808
4.79237936	-87.68190861
4.80703496	-79.87169568
4.82169055	-79.08105814
4.83634615	-79.68873349
4.85100174	-88.79662350
4.86565734	-89.13235121
4.88031293	-85.12259921
4.89496852	-78.44373617
4.90962412	-78.85586442
4.92427971	-85.35756686
4.93893531	-84.67376763
4.95359090	-82.05284818
4.96824650	-88.75596075
4.98290209	-77.21389023
4.99755769	-79.19668225
5.01221328	-93.68140327
5.02686887	-97.78654861
5.04152447	-85.90692888
5.05618006	-86.31522346
5.07083566	-82.80910976
5.08549125	-79.60292752
5.10014685	-96.23494831
5.11480244	-78.54625360
5.12945803	-80.53841811
5.14411363	-83.42208866
5.15876922	-104.20242033
5.17342482	-84.08531129
5.18808041	-92.07807124
5.20273601	-84.23998941
5.21739160	-80.86916231
5.23204720	-75.74237366
5.24670279	-84.07145535
5.26135838	-81.82075256
5.27601398	-90.72121859
5.29066957	-79.84142930
5.30532517	-83.06656152
5.31998076	-85.50709957
5.33463636	-81.13194639
5.34929195	-79.58497355
5.36394754	-84.10026497
5.37860314	-88.18308721
5.39325873	-81.83063452
5.40791433	-88.87237259
5.42256992	-81.65275905
5.43722552	-83.02828002
5.45188111	-90.71324519
5.46653671	-85.28266094
5.48119230	-97.61380658
5.49584789	-100.28411536
5.51050349	-81.80985330
5.52515908	-89.00822538
5.53981468	-80.36662937
5.55447027	-78.97639528
5.56912587	-87.80412938
5.58378146	-82.68432593
5.59843706	-78.51213815
5.61309265	-82.65864110
5.62774824	-98.61234146
5.64240384	-87.55027384
5.65705943	-87.65527199
5.67171503	-86.41586558
5.68637062	-80.46401580
5.70102622	-82.69613164
5.71568181	-91.24534619
5.73033740	-90.24628476
5.74499300	-76.69904110
5.75964859	-79.01635041
5.77430419	-85.88801912
5.78895978	-81.92393315
5.80361538	-94.34416745
5.81827097	-97.11384467
5.83292657	-93.25728026
5.84758216	-83.99557037
5.86223775	-79.60902426
5.87689335	-87.16692381
5.89154894	-84.07849487
5.90620454	-86.75614507
5.92086013	-82.26051486
5.93551573	-92.49037787
5.95017132	-81.50109721
5.96482691	-81.39856493
5.97948251	-77.90460530
5.99413810	-78.85822736
6.00879370	-74.01045979
6.02344929	-75.45665497
6.03810489	-90.87200608
6.05276048	-80.53080541
6.06741608	-78.88109882
6.08207167	-84.48638103
6.09672726	-80.86664812
6.11138286	-81.57448549
6.12603845	-87.99207658
6.14069405	-82.49010121
6.15534964	-92.47428274
6.17000524	-83.15848139
6.18466083	-81.89383796
6.19931642	-86.87656167
6.21397202	-87.94079504
6.22862761	-83.25846041
6.24328321	-78.52025155
6.25793880	-79.07645037
6.27259440	-84.66469331
6.28724999	-80.53494860
6.30190559	-88.23478715
6.31656118	-76.61164372
6.33121677	-82.78739751
6.34587237	-80.08150116
6.36052796	-80.04989102
6.37518356	-87.70874558
6.38983915	-83.32675085
6.40449475	-80.05666275
6.41915034	-77.80819175
6.43380594	-84.23875099
6.44846153	-79.64047499
6.46311712	-79.51039027
6.47777272	-81.18349471
6.49242831	-77.70495565
6.50708391	-84.20400583
6.52173950	-78.90888075
6.53639510	-75.88006814
6.55105069	-78.40671630
6.56570628	-76.94460591
6.58036188	-77.89441272
6.59501747	-77.77397648
6.60967307	-95.72394862
6.62432866	-78.81632933
6.63898426	-78.77926329
6.65363985	-81.31978426
6.66829545	-80.21227421
6.68295104	-80.23569152
6.69760663	-76.92733378
6.71226223	-78.23730152
6.72691782	-110.96446344
6.74157342	-76.14624821
6.75622901	-74.12108692
6.77088461	-82.67138003
6.78554020	-81.10691223
6.80019579	-77.56413932
6.81485139	-80.33276911
6.82950698	-81.97899866
6.84416258	-84.68635023
6.85881817	-84.78612034
6.87347377	-84.58555715
6.88812936	-79.03787183
6.90278496	-80.42659942
6.91744055	-82.44726435
6.93209614	-81.16551892
6.94675174	-86.06559478
6.96140733	-101.97489548
6.97606293	-82.91253371
6.99071852	-77.06827896
7.00537412	-77.08219329
7.02002971	-83.49594731
7.03468530	-101.77446166
7.04934090	-89.60563304
7.06399649	-86.77189337
7.07865209	-87.67439118
7.09330768	-87.30880461
7.10796328	-77.23610034
7.12261887	-78.10049780
7.13727447	-85.64986444
7.15193006	-88.39023894
7.16658565	-85.80048026
7.18124125	-82.61366893
7.19589684	-80.72049509
7.21055244	-80.88173302
7.22520803	-85.96206684
7.23986363	-86.92808147
7.25451922	-88.40788090
7.26917481	-89.37365832
7.28383041	-77.08161013
7.29848600	-78.70292907
7.31314160	-81.60244752
7.32779719	-75.41931882
7.34245279	-79.64822370
7.35710838	-85.17923674
7.37176398	-83.03428882
7.38641957	-84.93283015
7.40107516	-87.50701217
7.41573076	-85.61505449
7.43038635	-87.72009196
7.44504195	-85.21735906
7.45969754	-86.78959325
7.47435314	-94.75610812
7.48900873	-86.97729076
7.50366433	-80.25328971
7.51831992	-81.95159587
7.53297551	-86.94784720
7.54763111	-86.33518849
7.56228670	-84.39967781
7.57694230	-82.78175660
7.59159789	-79.23784969
7.60625349	-80.27781029
7.62090908	-76.94683785
7.63556467	-80.05450812
7.65022027	-85.45045346
7.66487586	-78.86245149
7.67953146	-82.19121666
7.69418705	-78.96779618
7.70884265	-83.17931218
7.72349824	-88.85004620
7.73815384	-84.42132063
7.75280943	-97.29338592
7.76746502	-94.63183195
7.78212062	-86.91231239
7.79677621	-82.89280202
7.81143181	-82.31373911
7.82608740	-81.10823349
7.84074300	-89.17852637
7.85539859	-88.92065547
7.87005418	-79.68323461
7.88470978	-82.20656014
7.89936537	-80.24740014
7.91402097	-75.13209050
7.92867656	-78.88833902
7.94333216	-78.49976791
7.95798775	-88.70558153
7.97264335	-74.15792688
7.98729894	-72.93199721
8.00195453	-85.69603669
8.01661013	-79.08425690
8.03126572	-81.18180386
8.04592132	-81.57925322
8.06057691	-79.86619334
8.07523251	-85.41923557
8.08988810	-82.34445433
8.10454369	-78.08358950
8.11919929	-77.43219905
8.13385488	-79.90104959
8.14851048	-76.53859984
8.16316607	-75.92129933
8.17782167	-74.57807028
8.19247726	-76.16760573
8.20713286	-80.93204504
8.22178845	-82.81773734
8.23644404	-76.73530325
8.25109964	-73.75650917
8.26575523	-82.40286557
8.28041083	-83.36561188
8.29506642	-84.92894112
8.30972202	-91.26482680
8.32437761	-81.30433284
8.33903321	-75.76293981
8.35368880	-74.96828434
8.36834439	-86.93489337
8.38299999	-74.91138360
8.39765558	-79.73848260
8.41231118	-82.02077419
8.42696677	-84.18853427
8.44162237	-79.21735090
8.45627796	-76.67732170
8.47093355	-81.96274218
8.48558915	-78.50647813
8.50024474	-78.71687021
8.51490034	-84.76466611
8.52955593	-98.16865501
8.54421153	-83.45970375
8.55886712	-87.20213127
8.57352272	-84.59643572
8.58817831	-81.57049784
8.60283390	-79.09970730
8.61748950	-81.07957119
8.63214509	-77.99329130
8.64680069	-74.74198947
8.66145628	-79.08657662
8.67611188	-83.57240911
8.69076747	-86.42344967
8.70542306	-86.30948557
8.72007866	-86.16832018
8.73473425	-81.91710689
8.74938985	-77.12456210
8.76404544	-81.71272987
8.77870104	-88.35879501
8.79335663	-84.89429685
8.80801223	-85.09518678
8.82266782	-81.69296004
8.83732341	-88.69820630
8.85197901	-82.95714750
8.86663460	-81.66449803
8.88129020	-85.17669601
8.89594579	-92.56363380
8.91060139	-103.62158725
8.92525698	-88.76065681
8.93991257	-88.74309314
8.95456817	-86.10065741
8.96922376	-80.94044692
8.98387936	-83.08699741
8.99853495	-82.94175181
9.01319055	-79.40161918
9.02784614	-109.08547157
9.04250174	-80.55080654
9.05715733	-90.14329789
9.07181292	-85.00580725
9.08646852	-89.23344905
9.10112411	-90.72427816
9.11577971	-83.46221195
9.13043530	-79.25588653
9.14509090	-88.84309619
9.15974649	-83.55260784
9.17440209	-93.46368942
9.18905768	-77.13555412
9.20371327	-75.85352218
9.21836887	-83.24035426
9.23302446	-83.72903277
9.24768006	-78.79190403
9.26233565	-82.01827526
9.27699125	-81.84433771
9.29164684	-83.69187194
9.30630243	-104.30666250
9.32095803	-84.29845103
9.33561362	-92.96417260
9.35026922	-83.55495148
9.36492481	-84.55199250
9.37958041	-87.38918259
9.39423600	-84.47939090
9.40889160	-87.91609731
9.42354719	-92.00827853
9.43820278	-100.32410060
9.45285838	-79.32618484
9.46751397	-80.10904917
9.48216957	-80.83663339
9.49682516	-74.19457716
9.51148076	-80.21883839
9.52613635	-87.21046201
9.54079194	-89.75346163
