# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:58:24
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.24994580
0.01465559	-24.83563652
0.02931119	-39.49081122
0.04396678	-31.39893416
0.05862238	-37.75246429
0.07327797	-34.79282913
0.08793356	-41.35762172
0.10258916	-39.13108881
0.11724475	-37.99105642
0.13190034	-30.91530532
0.14655594	-37.77590860
0.16121153	-32.07908152
0.17586713	-25.56384073
0.19052272	-23.79633870
0.20517831	-29.37764239
0.21983391	-18.95890022
0.23448950	-16.51378222
0.24914510	-19.25439418
0.26380069	-21.67883494
0.27845628	-15.53467360
0.29311188	-13.53623480
0.30776747	-16.95563816
0.32242306	-16.04735185
0.33707866	-9.98163514
0.35173425	-8.57168335
0.36638985	-13.11602851
0.38104544	-11.38983157
0.39570103	-6.75367399
0.41035663	-6.52386340
0.42501222	-10.58068212
0.43966782	-7.75040816
0.45432341	-3.13607393
0.46897900	-3.52493783
0.48363460	-7.78625192
0.49829019	-5.05435868
0.51294578	-1.87983588
0.52760138	-3.27126944
0.54225697	-7.30839639
0.55691257	-3.62288566
0.57156816	-0.22211178
0.58622375	-1.60849110
0.60087935	-5.86359081
0.61553494	-1.66471466
0.63019054	-0.19058783
0.64484613	-2.75892996
0.65950172	-6.04077338
0.67415732	-1.35107281
0.68881291	0.00000000
0.70346850	-2.82660829
0.71812410	-4.96479594
0.73277969	-1.00227085
0.74743529	-0.83335284
0.76209088	-4.82028727
0.77674647	-5.48406736
0.79140207	-1.61499532
0.80605766	-1.27940899
0.82071326	-5.26963790
0.83536885	-4.35042554
0.85002444	-1.32007170
0.86468004	-2.47994789
0.87933563	-6.99027840
0.89399122	-5.01691493
0.90864682	-2.42316571
0.92330241	-3.93386936
0.93795801	-7.27791764
0.95261360	-4.33203036
0.96726919	-2.94056252
0.98192479	-6.08038957
0.99658038	-9.50083904
1.01123598	-6.11156310
1.02589157	-5.28335085
1.04054716	-8.18071758
1.05520276	-9.06000809
