#leer
#0.00000000	NaN	NaN
0.00091553	4.86532108	-40.68250666
0.00183105	-1.33886414	NaN
0.00274658	4.32571635	-39.57139124
0.00366211	-0.35350987	NaN
0.00457763	8.45166000	-74.97818104
0.00549316	0.00880126	-255.31793020
0.00640869	10.28353950	-84.67151837
0.00732421	5.80693379	-39.93676843
0.00823974	0.23528575	-34.35374954
0.00915527	2.48935729	-11.82421538
0.01007079	1.64251819	-5.89276735
0.01098632	0.77357731	2.91622572
0.01190185	1.18857000	-1.95609621
0.01281737	1.47223230	2.62221826
0.01373290	1.54677543	-1.72684594
0.01464843	1.78562306	-2.02720974
0.01556395	1.29994736	-1.15990276
0.01647948	1.69870031	-3.39481479
0.01739501	1.11949546	-0.43059596
0.01831053	2.65859307	-16.63669366
0.01922606	1.43626215	6.05764382
0.02014159	1.79468683	-4.09779197
0.02105711	1.41537040	2.40645398
0.02197264	1.39195673	-2.00922218
0.02288817	1.29861188	1.41686254
0.02380369	1.26094137	4.17863480
0.02471922	0.94703538	2.07197596
0.02563475	1.76469627	-1.32660029
0.02655027	1.05932205	7.45385435
0.02746580	1.45812092	2.37311002
0.02838133	0.87517236	10.84516254
0.02929685	0.85458657	0.22748449
0.03021238	1.18553515	5.16632986
0.03112791	1.08902302	2.45575409
0.03204343	1.31048025	1.26848535
0.03295896	1.26260917	1.35553545
0.03387449	1.30020449	1.07312078
0.03479001	1.22049184	2.20456190
0.03570554	1.26558777	1.94923413
0.03662107	1.24850699	2.25302213
0.03753659	1.34328239	1.02988014
0.03845212	1.27928927	0.94440198
0.03936765	1.43934066	-1.65683484
0.04028317	1.34533405	2.68111841
0.04119870	1.22116428	2.21472107
0.04211422	1.26480991	2.24160763
0.04302975	1.26542285	2.09892781
0.04394528	1.30988761	1.24227446
0.04486080	1.30687762	2.22329011
0.04577633	1.17635541	2.46924602
0.04669186	1.15561787	2.51372710
0.04760738	1.06231307	1.64669397
0.04852291	1.24125241	1.36753508
0.04943844	1.19443057	3.93810397
0.05035396	1.24126095	3.24167438
0.05126949	0.89335254	4.78580005
0.05218502	1.25829669	-10.69434151
0.05310054	1.44978957	-5.89764649
0.05401607	1.26567684	0.67811632
0.05493160	1.25950623	-1.35926098
0.05584712	1.38360055	1.05124731
0.05676265	1.31997106	4.28407291
0.05767818	1.28515397	2.91835171
0.05859370	1.31790598	1.24066033
0.05950923	1.30119113	1.54870838
0.06042476	1.25033877	1.83838561
0.06134028	1.21784235	2.11691072
0.06225581	1.23026272	1.82486383
0.06317134	1.26341873	1.98101740
0.06408686	1.28202500	1.79198927
0.06500239	1.26902803	1.60367852
0.06591792	1.25582076	1.17394578
0.06683344	1.23693355	1.61646438
0.06774897	1.22385151	3.17687358
