#f/THz n absorption __ thickness = 0.26mm
#0.00000000	NaN	NaN
0.00091553	4.08711808	-33.67749582
0.00183105	-1.38562967	NaN
0.00274658	4.42788248	-42.39546355
0.00366211	-0.42205135	NaN
0.00457763	8.61155121	-77.30652339
0.00549316	0.01234059	-231.11334705
0.00640869	10.42877733	-87.11303464
0.00732421	5.94768968	-42.47059964
0.00823974	0.08358066	-94.70837537
0.00915527	2.56602748	-14.00699754
0.01007079	1.62961117	-6.36543225
0.01098632	0.89719882	2.85493178
0.01190185	1.22996839	-2.75269941
0.01281737	1.54304604	0.71895513
0.01373290	1.59171987	-3.07400762
0.01464843	1.84721212	-3.79920347
0.01556395	1.34883961	-2.31832699
0.01647948	1.78053924	-5.21111794
0.01739501	1.18475915	-1.72433210
0.01831053	2.77884717	-19.46317515
0.01922606	1.52808866	4.27051975
0.02014159	1.86440157	-5.76253463
0.02105711	1.46929646	1.02520162
0.02197264	1.45304866	-3.24670563
0.02288817	1.35276907	0.04493054
0.02380369	1.35719044	2.57404117
0.02471922	1.00256546	1.31640483
0.02563475	1.83397057	-3.25382883
0.02655027	1.12830509	6.44374680
0.02746580	1.52567169	0.87147344
0.02838133	0.96350660	10.48801967
0.02929685	0.94066817	0.01467645
0.03021238	1.27477012	3.85996920
0.03112791	1.17537238	1.20625406
0.03204343	1.39024582	-0.23858076
0.03295896	1.33622795	-0.16901598
0.03387449	1.37619551	-0.19169366
0.03479001	1.28360560	0.95212990
0.03570554	1.35432689	0.53759392
0.03662107	1.32978823	0.98929588
0.03753659	1.42910174	-0.37164711
0.03845212	1.35266388	-0.34241660
0.03936765	1.51833046	-3.20395043
0.04028317	1.42095152	1.35109822
0.04119870	1.29691069	0.99450875
0.04211422	1.34439890	0.91013304
0.04302975	1.34633177	0.76856210
0.04394528	1.38897016	-0.27382257
0.04486080	1.39760764	0.68698346
0.04577633	1.25211041	1.42799239
0.04669186	1.23707068	1.39151712
0.04760738	1.12815491	0.98561893
0.04852291	1.31185401	0.11640514
0.04943844	1.26200578	2.64589130
0.05035396	1.33133049	1.70774623
0.05126949	0.94560550	4.76659594
0.05218502	1.33783095	-12.91898348
0.05310054	1.54708048	-7.61608136
0.05401607	1.33381602	-0.26063151
0.05493160	1.33647340	-2.65821632
0.05584712	1.46974205	-0.38596479
0.05676265	1.40364069	3.17351150
0.05767818	1.36051749	1.64734004
0.05859370	1.39784018	-0.21052127
0.05950923	1.38124832	0.13818644
0.06042476	1.32682241	0.61069427
0.06134028	1.29765494	0.88665440
0.06225581	1.30631521	0.87178138
0.06317134	1.33406044	0.61813289
0.06408686	1.36666578	0.28683102
0.06500239	1.35091092	0.26173691
0.06591792	1.34169371	-0.21122276
0.06683344	1.31665025	0.62388643
0.06774897	1.29869516	1.98630437
0.06866450	1.27078987	2.95118862
0.06958002	1.28711889	3.98610480
0.07049555	1.20265513	2.05924975
0.07141108	1.35220979	-1.02430911
0.07232660	1.35631757	0.04613728
0.07324213	1.33282135	-0.61828201
0.07415766	1.29322029	-0.18641896
0.07507318	1.29554468	-1.84048931
0.07598871	1.35139925	-1.79556841
0.07690424	1.33910848	0.20740827
0.07781976	1.34907366	-1.48021319
0.07873529	1.33197912	1.66368319
0.07965082	1.26079110	-5.10342336
0.08056634	1.45327724	-0.45558947
0.08148187	1.18166149	2.60604756
0.08239740	1.39342649	-7.50374263
0.08331292	1.27719536	2.53155171
0.08422845	1.35202863	-4.46420943
0.08514398	1.29793429	2.11588222
0.08605950	1.34169320	-1.24717086
0.08697503	1.30363454	2.24197749
0.08789056	1.34146186	-0.79504463
0.08880608	1.35964711	1.57881619
0.08972161	1.34331223	-0.62485909
0.09063714	1.35225097	0.75889937
0.09155266	1.34278861	-0.51206595
0.09246819	1.34307481	-0.06156992
0.09338372	1.36695215	0.29076410
0.09429924	1.31224787	2.49061503
0.09521477	1.30795360	-0.15893172
0.09613030	1.31649154	1.01974475
0.09704582	1.31319497	0.40960147
0.09796135	1.31743380	0.26048820
0.09887688	1.34947943	-0.51215123
0.09979240	1.34350902	0.90101123
0.10070793	1.32784823	0.29422348
0.10162346	1.33807984	-0.45143209
0.10253898	1.36216639	-0.03843448
0.10345451	1.34144718	0.61776744
0.10437004	1.36775574	0.09935306
0.10528556	1.34960683	1.13201879
0.10620109	1.32673360	0.13030875
0.10711662	1.33707223	-0.39512128
0.10803214	1.27595673	1.09456979
0.10894767	1.31891464	-8.09293773
0.10986320	1.36069908	-0.72659692
0.11077872	1.31575364	0.03672428
0.11169425	1.31522579	-2.62441655
0.11260978	1.28694690	-5.40827880
0.11352530	1.57477824	-2.03553814
0.11444083	1.33224301	-0.70531672
0.11535636	1.32774050	-1.79656943
0.11627188	1.34058496	-0.25263617
0.11718741	1.32806719	0.36923655
0.11810294	1.34644739	0.75482528
0.11901846	1.34109512	1.23170326
0.11993399	1.33789727	0.43705984
0.12084952	1.34239384	-0.28924466
0.12176504	1.34464260	-0.14726670
0.12268057	1.34193293	0.42186009
0.12359609	1.33107791	1.00884360
0.12451162	1.33193897	0.41779475
0.12542715	1.34291900	0.34718353
0.12634267	1.34645518	0.73415940
0.12725820	1.33189692	0.85338561
0.12817373	1.33641262	0.04861165
0.12908925	1.34259717	0.77251608
0.13000478	1.33522880	0.80438336
0.13092031	1.33525690	0.52434314
0.13183583	1.34361786	0.02789452
0.13275136	1.36219353	0.38905916
0.13366689	1.34295828	1.24466627
0.13458241	1.33687731	0.67669139
0.13549794	1.33170540	0.80194799
0.13641347	1.33976568	0.36385346
0.13732899	1.32554395	1.25084162
