Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0974	107.0	713.8290999999999	8.54215e-06	1.46219e-07	7.41615e-06	0.822
7.1703	107.01	713.895813	-3.87247e-06	-2.21656e-07	4.01682e-06	-176.778
8.1932	107.02	713.9625259999999	-6.10578e-06	-4.10715e-07	6.14303e-06	-176.514
9.2014	107.03	714.029239	-7.43478e-06	-5.15956e-07	7.41615e-06	-175.812
10.2086	107.04	714.095952	-8.10815e-06	-8.11186e-07	8.15751e-06	-174.198
11.2152	107.05	714.162665	-8.98546e-06	-3.25965e-07	9.00222e-06	-177.858
12.2233	107.06	714.229378	-9.54239e-06	-2.37488e-07	9.59361e-06	-178.434
13.2465	107.07	714.2960909999999	-1.05464e-05	-1.32249e-07	1.05128e-05	-179.25
14.2537	107.08	714.362804	-1.1053e-05	1.11759e-08	1.10707e-05	179.94
15.2787	107.09	714.429517	-1.17124e-05	-1.1921e-07	1.17152e-05	-179.406
16.3007	107.1	714.49623	-1.24174e-05	-2.1793e-07	1.23587e-05	-178.824
17.325	107.11	714.5629429999999	-1.29007e-05	-4.64732e-07	1.29892e-05	-178.002
18.3494	107.12	714.629656	-1.44328e-05	-2.60772e-07	1.45054e-05	-179.004
19.3722	107.13	714.6963689999999	-1.48872e-05	-4.71251e-07	1.48751e-05	-178.302
20.4125	107.14	714.7630819999999	-1.61008e-05	-2.1048e-07	1.60794e-05	-179.196
21.4351	107.15	714.829795	-1.55551e-05	-8.08392e-07	1.55672e-05	-177.024
22.4595	107.16	714.8965079999999	-1.60068e-05	-3.13858e-07	1.60524e-05	-178.74
23.4664	107.17	714.963221	-1.6424e-05	-5.54141e-07	1.64119e-05	-178.032
24.4739	107.18	715.029934	-1.54135e-05	-3.66012e-07	1.54126e-05	-178.746
25.4818	107.19	715.096647	-1.39345e-05	-2.93368e-07	1.38907e-05	-178.872
26.5044	107.2	715.16336	-1.24006e-05	-3.81844e-07	1.23438e-05	-178.236
27.5134	107.21	715.230073	-9.88512e-06	-8.69859e-07	9.93727e-06	-174.93
28.5209	107.22	715.296786	-7.91444e-06	-3.53905e-08	7.85763e-06	-179.67
29.6712	107.23	715.3634989999999	-4.58214e-06	-5.71836e-07	4.53743e-06	-172.734
30.6951	107.24	715.4302119999999	-1.57208e-06	-3.0175e-07	1.51993e-06	-168.192
31.7185	107.25	715.4969249999999	2.54811e-06	4.09784e-08	2.62821e-06	0.252
32.743	107.26	715.563638	6.46155e-06	1.88128e-07	6.56399e-06	1.524
34.0213	107.27	715.6303509999999	1.02446e-05	1.15484e-07	1.03228e-05	-0.762
35.0295	107.28	715.697064	1.40071e-05	-1.1921e-07	1.41264e-05	-0.54
36.0364	107.29	715.763777	1.71663e-05	1.1921e-07	1.71663e-05	0.666
37.0444	107.3	715.8304899999999	1.9312e-05	4.76841e-07	1.9312e-05	1.572
38.0507	107.31	715.897203	2.18154e-05	5.9605e-07	2.18154e-05	1.746
39.0751	107.32	715.9639159999999	2.30075e-05	5.9605e-07	2.31267e-05	1.488
40.3387	107.33	716.030629	2.3842e-05	5.9605e-07	2.37228e-05	1.638
41.3462	107.34	716.097342	2.28883e-05	9.53682e-07	2.28883e-05	1.638
