Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

5.5319	108.0	720.5003999999999	-0.000241281	-5.72208e-06	0.00011921	-178.044
6.0284	108.01	720.567113	5.53133e-05	1.90736e-06	5.53133e-05	2.022
6.4597	108.02	720.6338259999999	5.24523e-05	9.53682e-07	5.24523e-05	0.714
6.9084	108.03	720.7005389999999	4.76839e-05	0.0	4.67303e-05	0.81
7.3229	108.04	720.767252	4.19619e-05	0.0	4.19619e-05	0.894
7.7719	108.05	720.8339649999999	3.62399e-05	1.90736e-06	3.52862e-05	3.24
8.203	108.06	720.900678	2.86103e-05	0.0	2.76567e-05	0.0
8.6181	108.07	720.9673909999999	1.90736e-05	0.0	1.90736e-05	1.974
9.0347	108.08	721.034104	1.14442e-05	0.0	1.14442e-05	3.18
9.4512	108.09	721.100817	3.81473e-06	-1.90736e-06	3.81473e-06	-9.462
9.8825	108.1	721.1675299999999	-4.7684e-06	-9.53682e-07	4.7684e-06	-172.878
10.2984	108.11	721.234243	-1.23978e-05	0.0	1.23978e-05	-176.988
10.7295	108.12	721.3009559999999	-2.00273e-05	-9.53682e-07	1.90736e-05	-178.026
11.1627	108.13	721.367669	-2.57493e-05	-9.53682e-07	2.47956e-05	-178.494
11.5776	108.14	721.4343819999999	-2.9564e-05	-1.90736e-06	2.86103e-05	-177.336
12.0096	108.15	721.501095	-3.33788e-05	-9.53682e-07	3.33788e-05	-177.756
12.4417	108.16	721.5678079999999	-4.00546e-05	-9.53682e-07	3.91009e-05	-179.046
12.8569	108.17	721.634521	-4.48229e-05	-2.86104e-06	4.38693e-05	-177.396
13.2727	108.18	721.701234	-4.48229e-05	-1.90736e-06	4.38693e-05	-178.266
13.6886	108.19	721.7679469999999	-4.48229e-05	-9.53682e-07	4.38693e-05	-178.266
14.1373	108.2	721.83466	-4.48229e-05	-2.86104e-06	4.38693e-05	-178.266
14.5683	108.21	721.9013729999999	-4.29156e-05	-9.53682e-07	4.19619e-05	-179.106
14.9997	108.22	721.968086	-3.81472e-05	-9.53682e-07	3.71935e-05	-178.992
15.4485	108.23	722.034799	-3.52862e-05	-9.53682e-07	3.43325e-05	-178.896
15.8796	108.24	722.101512	-3.24252e-05	-9.53682e-07	3.05178e-05	-178.782
16.3112	108.25	722.168225	-2.6703e-05	-9.53682e-07	2.57493e-05	-178.53
16.7122	108.26	722.2349379999999	-2.28883e-05	-9.53682e-07	2.19346e-05	-178.266
17.1424	108.27	722.3016509999999	-1.33515e-05	0.0	1.23978e-05	177.138
17.5594	108.28	722.3683639999999	-1.04905e-05	0.0	9.5368e-06	180.0
17.9756	108.29	722.435077	-4.7684e-06	0.0	2.86104e-06	180.0
18.3754	108.3	722.5017899999999	0.0	0.0	0.0	90.0
18.7752	108.31	722.568503	3.81473e-06	0.0	4.7684e-06	0.0
19.1899	108.32	722.6352159999999	1.23978e-05	0.0	1.23978e-05	0.0
19.6069	108.33	722.701929	1.52589e-05	0.0	1.62126e-05	2.292
20.0228	108.34	722.768642	1.71663e-05	0.0	1.81199e-05	2.046
20.4384	108.35	722.8353549999999	2.0981e-05	0.0	2.0981e-05	0.0
20.8526	108.36	722.902068	2.28883e-05	0.0	2.28883e-05	1.638
21.2695	108.37	722.968781	2.6703e-05	0.0	2.57493e-05	1.434
21.6855	108.38	723.035494	2.57493e-05	0.0	2.57493e-05	1.434
22.1337	108.39	723.1022069999999	2.57493e-05	0.0	2.57493e-05	1.47
22.5488	108.4	723.16892	2.3842e-05	0.0	2.3842e-05	1.59
22.9653	108.41	723.2356329999999	2.28883e-05	0.0	2.28883e-05	0.0
23.3804	108.42	723.302346	2.19346e-05	0.0	2.19346e-05	1.734
23.813	108.43	723.369059	1.71663e-05	0.0	1.71663e-05	2.118
24.2449	108.44	723.4357719999999	1.33515e-05	0.0	1.33515e-05	0.0
24.6595	108.45	723.502485	1.14442e-05	0.0	1.14442e-05	3.18
25.0924	108.46	723.5691979999999	1.04905e-05	0.0	1.04905e-05	3.576
25.5074	108.47	723.635911	5.72208e-06	0.0	4.7684e-06	-7.122
25.9395	108.48	723.702624	1.90736e-06	-9.53682e-07	1.90736e-06	-18.432
26.3719	108.49	723.769337	-3.81473e-06	0.0	2.86104e-06	168.69
26.786	108.5	723.83605	-6.67575e-06	0.0	5.72208e-06	180.0
27.2019	108.51	723.9027629999999	-7.62945e-06	-9.53682e-07	6.67575e-06	-174.804
27.6182	108.52	723.9694759999999	-9.5368e-06	-9.53682e-07	8.58313e-06	-175.914
28.0181	108.53	724.0361889999999	-1.14442e-05	-9.53682e-07	1.04905e-05	-176.634
28.4183	108.54	724.102902	-1.33515e-05	-9.53682e-07	1.23978e-05	180.0
28.866	108.55	724.1696149999999	-1.33515e-05	-9.53682e-07	1.23978e-05	180.0
29.2977	108.56	724.236328	-1.04905e-05	-9.53682e-07	9.5368e-06	-176.184
29.7129	108.57	724.3030409999999	-9.5368e-06	-9.53682e-07	8.58313e-06	-175.602
30.1144	108.58	724.369754	-7.62945e-06	-9.53682e-07	6.67575e-06	180.0
30.5451	108.59	724.436467	-6.67575e-06	-9.53682e-07	4.7684e-06	180.0
30.9618	108.6	724.5031799999999	-2.86104e-06	0.0	1.90736e-06	180.0
31.3617	108.61	724.569893	1.90736e-06	0.0	1.90736e-06	0.0
31.7615	108.62	724.636606	3.81473e-06	0.0	3.81473e-06	0.0
32.1925	108.63	724.703319	5.72208e-06	0.0	5.72208e-06	6.342
32.6079	108.64	724.7700319999999	9.5368e-06	0.0	1.04905e-05	3.576
33.025	108.65	724.836745	1.52589e-05	0.0	1.43052e-05	0.0
33.4397	108.66	724.9034579999999	1.52589e-05	0.0	1.52589e-05	2.292
33.8567	108.67	724.9701709999999	1.62126e-05	0.0	1.62126e-05	2.292
34.2557	108.68	725.036884	1.62126e-05	0.0	1.62126e-05	2.292
34.6719	108.69	725.1035969999999	1.71663e-05	0.0	1.71663e-05	2.118
35.0878	108.7	725.17031	1.71663e-05	9.53682e-07	1.71663e-05	4.236
35.519	108.71	725.2370229999999	1.52589e-05	0.0	1.52589e-05	2.49
35.9516	108.72	725.303736	1.14442e-05	0.0	1.14442e-05	3.012
36.3835	108.73	725.370449	9.5368e-06	0.0	8.58313e-06	4.398
36.7984	108.74	725.437162	3.81473e-06	0.0	2.86104e-06	0.0
37.2298	108.75	725.503875	-2.86104e-06	0.0	1.90736e-06	180.0
37.6948	108.76	725.570588	-9.5368e-06	-9.53682e-07	9.5368e-06	-176.184
38.1585	108.77	725.637301	-2.0981e-05	-9.53682e-07	2.0981e-05	-178.212
38.5896	108.78	725.7040139999999	-2.76567e-05	-9.53682e-07	2.57493e-05	-178.602
39.0222	108.79	725.770727	-3.33788e-05	-1.90736e-06	3.33788e-05	-177.756
39.4371	108.8	725.8374399999999	-4.29156e-05	-2.86104e-06	4.19619e-05	-177.36
39.8694	108.81	725.904153	-5.24523e-05	-2.86104e-06	5.24523e-05	-177.852
40.3331	108.82	725.9708659999999	-6.19893e-05	-2.86104e-06	6.19893e-05	-178.17
40.765	108.83	726.0375789999999	-6.67577e-05	-2.86104e-06	6.5804e-05	-178.296
41.1804	108.84	726.104292	-7.24797e-05	-2.86104e-06	7.1526e-05	-178.422
41.5963	108.85	726.1710049999999	-7.62944e-05	-2.86104e-06	7.53407e-05	-178.506
42.0115	108.86	726.237718	-7.91554e-05	-2.86104e-06	7.82018e-05	-178.074
42.4444	108.87	726.304431	-7.82018e-05	-2.86104e-06	7.72481e-05	-178.542
42.8915	108.88	726.371144	-7.53407e-05	-1.90736e-06	7.43871e-05	-179.49
43.3244	108.89	726.437857	-6.8665e-05	-2.86104e-06	6.77113e-05	-178.314
43.7392	108.9	726.50457	-6.19893e-05	-2.86104e-06	6.10356e-05	-178.134
44.1391	108.91	726.5712829999999	-5.0545e-05	-1.90736e-06	4.86376e-05	-178.452
44.5709	108.92	726.6379959999999	-3.33788e-05	-9.53682e-07	3.24252e-05	-178.83
44.9713	108.93	726.704709	-1.62126e-05	-9.53682e-07	1.52589e-05	-177.51
45.4035	108.94	726.7714219999999	2.86104e-06	0.0	3.81473e-06	8.13
45.8505	108.95	726.838135	2.3842e-05	9.53682e-07	2.47956e-05	2.934
46.2497	108.96	726.9048479999999	4.86376e-05	9.53682e-07	4.95913e-05	1.506
46.6669	108.97	726.971561	7.43871e-05	1.90736e-06	7.62944e-05	1.482
47.098	108.98	727.038274	0.00010109	2.86104e-06	0.000102044	1.848
47.5465	108.99	727.1049869999999	0.000125886	3.81473e-06	0.00012684	2.1
52.984	109.0	727.1717	0.000150681	3.81473e-06	0.000152589	1.746
53.3982	109.01	727.238413	0.00017357	3.81473e-06	0.000174523	1.524
53.8306	109.02	727.305126	0.000192643	4.7684e-06	0.00019455	1.56
54.2633	109.03	727.3718389999999	0.00021267	5.72208e-06	0.00021267	1.608
54.6951	109.04	727.438552	0.000227929	5.72208e-06	0.000228883	1.5
55.1421	109.05	727.5052649999999	0.000235558	6.67575e-06	0.000236512	1.614
55.5584	109.06	727.571978	0.00023842	6.67575e-06	0.00023842	1.602
55.9895	109.07	727.6386909999999	0.000234605	6.67575e-06	0.000234605	1.62
56.4212	109.08	727.7054039999999	0.000226022	5.72208e-06	0.000225068	1.518
56.9494	109.09	727.772117	0.000209809	4.7684e-06	0.000208379	1.464
57.3651	109.1	727.8388299999999	0.000185967	4.29156e-06	0.000184537	1.344
57.7817	109.11	727.905543	0.000154019	4.29156e-06	0.000152589	1.632
58.1975	109.12	727.972256	0.000118733	2.86104e-06	0.000117302	1.47
58.6284	109.13	728.038969	7.48639e-05	1.90736e-06	7.34334e-05	1.308
59.0601	109.14	728.105682	2.43188e-05	9.53682e-07	2.14578e-05	2.772
59.5085	109.15	728.1723949999999	-3.24252e-05	-9.53682e-07	3.38557e-05	-178.392
59.9084	109.16	728.2391079999999	-8.96459e-05	-2.86104e-06	9.10764e-05	-178.134
60.3556	109.17	728.3058209999999	-0.000148774	-4.7684e-06	0.000151158	-178.254
60.8039	109.18	728.372534	-0.00021124	-6.67575e-06	0.000215531	-178.242
61.2188	109.19	728.4392469999999	-0.00027466	-8.58313e-06	0.000276567	-178.212
61.6521	109.2	728.50596	-0.000334265	-1.04905e-05	0.00033951	-178.26
62.0838	109.21	728.5726729999999	-0.000393393	-1.09673e-05	0.0003953	-178.458
62.515	109.22	728.639386	-0.000441076	-1.28747e-05	0.000443937	-178.374
62.9315	109.23	728.706099	-0.000486853	-1.33515e-05	0.000489239	-178.44
63.3785	109.24	728.7728119999999	-0.000522617	-1.57357e-05	0.000524525	-178.332
