Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0839	90.0	600.4169999999999	-6.53605e-06	-2.23519e-08	7.15911e-06	178.29
7.1552	90.01	600.483713	-1.76757e-05	2.38699e-06	1.80342e-05	171.906
8.1629	90.02	600.5504259999999	-8.9212e-06	5.94187e-07	9.10653e-06	176.094
9.2022	90.03	600.617139	-1.7414e-05	2.41587e-06	1.78182e-05	171.87
10.2267	90.04	600.683852	-8.80758e-06	9.39708e-07	9.6914e-06	174.222
11.2657	90.05	600.7505649999999	-1.93744e-05	2.82937e-06	1.95598e-05	171.66
12.2892	90.06	600.817278	-1.00602e-05	1.04961e-06	1.0538e-05	174.048
13.3129	90.07	600.8839909999999	-1.62135e-05	2.41121e-06	1.55858e-05	171.384
14.3198	90.08	600.950704	-7.89302e-06	4.12578e-07	8.8141e-06	177.336
15.3434	90.09	601.017417	-2.18443e-05	3.30435e-06	2.18434e-05	171.234
16.3675	90.1	601.08413	-9.24716e-06	9.27601e-07	9.71282e-06	174.708
17.3747	90.11	601.150843	-1.75686e-05	2.25382e-06	1.68254e-05	172.608
18.383	90.12	601.217556	-8.28976e-06	2.92437e-07	9.27324e-06	176.508
19.4221	90.13	601.2842689999999	-1.77362e-05	1.93717e-06	1.68468e-05	174.156
20.4305	90.14	601.3509819999999	-1.10735e-05	1.11108e-06	1.21473e-05	173.64
21.4376	90.15	601.417695	-1.6274e-05	1.95952e-06	1.57441e-05	173.28
22.4456	90.16	601.4844079999999	-1.58419e-05	2.20073e-06	1.64752e-05	172.044
23.4685	90.17	601.551121	-1.23596e-05	1.56649e-06	1.09953e-05	172.758
24.492	90.18	601.617834	-1.67099e-05	2.60772e-06	1.82373e-05	171.438
25.5165	90.19	601.684547	-1.17999e-05	5.00124e-07	1.0606e-05	178.266
26.539	90.2	601.75126	-1.64957e-05	2.05172e-06	1.71812e-05	172.812
27.5628	90.21	601.8179729999999	-1.10986e-05	7.35748e-07	1.08183e-05	176.556
28.5871	90.22	601.884686	-1.63169e-05	2.00701e-06	1.70899e-05	172.938
29.5943	90.23	601.951399	-1.35722e-05	1.47708e-06	1.32137e-05	173.712
30.6017	90.24	602.018112	-1.58121e-05	1.85706e-06	1.66186e-05	173.544
