Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0347	90.1	601.08413	0.0032282	-0.000661854	0.00297357	-12.276
7.1854	90.11	601.150843	0.000100136	-2.00273e-05	8.58312e-05	-12.426
8.2088	90.11999999999999	601.217556	-3.71935e-05	5.72208e-06	3.71935e-05	169.692
9.2331	90.13	601.2842689999999	-6.2943e-05	1.23978e-05	6.38966e-05	168.804
10.272	90.14	601.3509819999999	-7.82018e-05	1.43052e-05	7.72481e-05	169.17
11.2805	90.14999999999999	601.4176949999999	-8.96459e-05	1.90736e-05	9.25069e-05	167.964
12.3039	90.16	601.4844079999999	-8.86922e-05	1.71663e-05	8.86922e-05	168.354
13.3112	90.16999999999999	601.5511209999999	-8.29701e-05	1.52589e-05	8.39238e-05	169.134
14.3187	90.17999999999999	601.6178339999999	-7.1526e-05	1.33515e-05	7.05724e-05	168.582
15.3268	90.19	601.684547	-6.48503e-05	1.23978e-05	6.48503e-05	168.804
16.3346	90.19999999999999	601.7512599999999	-5.3406e-05	1.04905e-05	5.3406e-05	167.856
17.3576	90.21	601.8179729999999	-5.6267e-05	1.04905e-05	5.72207e-05	168.558
18.3972	90.22	601.884686	-5.3406e-05	8.58313e-06	5.24523e-05	170.538
19.4203	90.22999999999999	601.9513989999999	-5.81744e-05	1.14442e-05	5.9128e-05	168.312
20.4447	90.24	602.018112	-4.95913e-05	8.58313e-06	4.95913e-05	170.034
21.4671	90.25	602.0848249999999	-5.81744e-05	1.04905e-05	5.72207e-05	169.458
22.4755	90.25999999999999	602.1515379999998	-5.53133e-05	9.5368e-06	5.53133e-05	169.632
23.4829	90.27	602.2182509999999	-6.67577e-05	1.23978e-05	6.77113e-05	169.242
24.4906	90.28	602.284964	-6.5804e-05	1.23978e-05	6.5804e-05	169.026
25.4979	90.28999999999999	602.3516769999999	-6.8665e-05	1.33515e-05	6.8665e-05	168.366
26.5056	90.3	602.4183899999999	-5.24523e-05	1.04905e-05	5.24523e-05	168.264
27.5133	90.30999999999999	602.4851029999999	-2.9564e-05	3.81473e-06	2.86103e-05	170.538
28.5209	90.32	602.5518159999999	2.19346e-05	-6.67575e-06	2.19346e-05	-16.86
29.5281	90.33	602.618529	6.38966e-05	-1.62126e-05	6.67577e-05	-13.08
30.5353	90.33999999999999	602.6852419999999	0.00012684	-2.86103e-05	0.000130654	-12.336
31.5434	90.35	602.751955	0.000189782	-4.29156e-05	0.000195504	-12.57
32.5674	90.36	602.818668	0.000255587	-5.81744e-05	0.000263216	-12.558
33.5909	90.36999999999999	602.8853809999999	0.000317575	-7.1526e-05	0.000327112	-12.564
34.6146	90.38	602.9520939999999	0.000387194	-8.48775e-05	0.000397684	-12.288
35.6382	90.39	603.0188069999999	0.000423433	-9.44142e-05	0.000435831	-12.444
36.6455	90.39999999999999	603.0855199999999	0.000489239	-0.000108719	0.00050259	-12.396
37.6692	90.41	603.1522329999999	0.000541691	-0.000120163	0.00055695	-12.33
38.6932	90.42	603.218946	0.000619892	-0.000135423	0.000635151	-12.288
39.7165	90.42999999999999	603.2856589999999	0.00070763	-0.000154496	0.000726704	-12.27
40.7233	90.44	603.352372	0.000823025	-0.000182153	0.000844959	-12.384
