Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0414	91.5	610.42395	-1.08807e-05	1.71085e-06	1.09682e-05	170.85
7.1128	91.51	610.490663	-9.10374e-06	1.7006e-06	9.15217e-06	169.362
8.1199	91.52	610.557376	-1.03945e-05	1.79001e-06	1.05817e-05	170.214
9.1426	91.53	610.6240889999999	-1.04169e-05	2.06662e-06	1.05361e-05	168.588
10.1666	91.54	610.690802	-1.01654e-05	1.93065e-06	1.03294e-05	169.302
11.2067	91.55	610.7575149999999	-9.43342e-06	1.14088e-06	9.59175e-06	172.914
12.2466	91.56	610.824228	-1.02362e-05	1.52458e-06	1.03368e-05	171.468
13.2701	91.57	610.8909409999999	-1.03601e-05	2.05172e-06	1.05585e-05	168.756
14.2773	91.58	610.9576539999999	-9.86463e-06	1.98373e-06	9.94472e-06	168.762
15.2847	91.59	611.024367	-1.06823e-05	2.03123e-06	1.089e-05	169.314
16.2928	91.6	611.0910799999999	-9.82551e-06	1.38768e-06	9.79478e-06	172.194
17.2992	91.61	611.157793	-9.89629e-06	1.54041e-06	1.00537e-05	171.168
18.3072	91.62	611.224506	-1.02129e-05	2.13367e-06	1.04281e-05	168.252
19.3148	91.63	611.291219	-9.43901e-06	1.72854e-06	9.72772e-06	169.626
20.3231	91.64	611.357932	-1.04309e-05	2.1523e-06	1.05696e-05	168.18
21.3303	91.65	611.4246449999999	-9.42504e-06	1.68198e-06	9.60013e-06	169.986
22.3369	91.66	611.491358	-1.00257e-05	1.52551e-06	1.00714e-05	171.342
23.3612	91.67	611.5580709999999	-9.25461e-06	1.52179e-06	9.44833e-06	170.484
24.3847	91.68	611.624784	-1.02604e-05	1.80212e-06	1.03573e-05	169.95
25.424	91.69	611.6914969999999	-1.01319e-05	1.62144e-06	1.02409e-05	170.85
26.4479	91.7	611.75821	-1.00015e-05	1.51061e-06	1.01319e-05	171.216
27.4716	91.71	611.8249229999999	-1.08258e-05	2.16906e-06	1.11387e-05	168.966
28.4952	91.72	611.891636	-1.02949e-05	1.58791e-06	1.04067e-05	171.408
29.5028	91.73	611.958349	-1.0334e-05	1.76859e-06	1.05221e-05	170.334
30.5262	91.74	612.0250619999999	-9.91399e-06	1.59443e-06	9.93354e-06	170.784
31.5498	91.75	612.091775	-1.03471e-05	1.79746e-06	1.05585e-05	170.1
32.5568	91.76	612.158488	-9.96242e-06	2.05172e-06	1.01682e-05	168.48
33.5646	91.77	612.225201	-9.71375e-06	1.78722e-06	9.91119e-06	169.65
34.5718	91.78	612.291914	-9.55729e-06	1.34204e-06	9.58989e-06	172.068
35.5805	91.79	612.358627	-1.00267e-05	1.60281e-06	1.01906e-05	170.928
36.6031	91.8	612.4253399999999	-9.59827e-06	1.80212e-06	9.75939e-06	169.386
37.6111	91.81	612.4920529999999	-1.12281e-05	1.86545e-06	1.1405e-05	170.508
38.6344	91.82	612.5587659999999	-1.0063e-05	1.66801e-06	1.0144e-05	170.502
39.6578	91.83	612.6254789999999	-9.81154e-06	1.46591e-06	9.8758e-06	171.57
40.6819	91.84	612.692192	-8.82434e-06	1.21445e-06	8.87091e-06	171.816
41.7051	91.85	612.7589049999999	-1.02539e-05	2.02098e-06	1.05063e-05	168.942
42.7284	91.86	612.825618	-8.99105e-06	1.62423e-06	9.07207e-06	169.818
43.7687	91.87	612.892331	-9.99408e-06	2.15044e-06	1.03014e-05	168.276
44.7922	91.88	612.959044	-1.04933e-05	1.88407e-06	1.0565e-05	169.842
45.8157	91.89	613.025757	-1.05855e-05	1.56835e-06	1.07382e-05	171.558
46.8394	91.9	613.09247	-9.3198e-06	2.13833e-06	9.58337e-06	167.268
47.8469	91.91	613.159183	-1.0565e-05	2.14951e-06	1.08528e-05	168.63
48.8544	91.92	613.2258959999999	-1.0145e-05	2.0424e-06	1.03014e-05	168.678
49.8618	91.93	613.292609	-1.06935e-05	1.86545e-06	1.09198e-05	169.968
50.869	91.94	613.3593219999999	-9.80595e-06	1.641e-06	9.90747e-06	170.388
51.8777	91.95	613.426035	-1.02996e-05	2.06569e-06	1.0456e-05	168.576
52.8838	91.96	613.4927479999999	-9.6616e-06	1.77325e-06	9.84134e-06	169.512
53.8921	91.97	613.5594609999999	-1.08844e-05	2.11039e-06	1.11061e-05	169.008
54.8997	91.98	613.626174	-9.28721e-06	1.63168e-06	9.34309e-06	169.98
55.9386	91.99	613.6928869999999	-1.04942e-05	1.55345e-06	1.06572e-05	171.726
56.9631	92.0	613.7596	-9.83948e-06	1.34949e-06	9.92423e-06	172.056
57.9859	92.01	613.826313	-1.009e-05	1.75555e-06	1.02623e-05	170.154
59.0096	92.02	613.893026	-9.97732e-06	1.43797e-06	1.00034e-05	172.152
60.0179	92.03	613.959739	-1.05082e-05	1.90923e-06	1.0728e-05	169.734
61.0412	92.04	614.026452	-9.93354e-06	1.34111e-06	1.01021e-05	172.608
62.0485	92.05	614.0931649999999	-1.0334e-05	1.67639e-06	1.03964e-05	170.352
63.0722	92.06	614.1598779999999	-1.01384e-05	1.61865e-06	1.03536e-05	171.228
64.0952	92.07	614.2265909999999	-1.01077e-05	1.23215e-06	1.02074e-05	173.076
