Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.1034	90.0	600.4169999999999	2.75673e-07	2.19793e-07	3.5763e-07	34.158
7.1753	90.01	600.483713	9.61132e-07	1.56463e-07	9.83484e-07	8.73
8.1993	90.02	600.5504259999999	-2.98025e-08	-3.72532e-09	3.35278e-08	-146.31
9.2222	90.03	600.617139	-3.24102e-07	3.27827e-07	4.32135e-07	136.29
10.2461	90.04	600.683852	-6.70557e-08	1.7509e-07	1.60188e-07	109.656
11.2695	90.05	600.7505649999999	-2.60771e-08	5.58797e-07	5.62522e-07	94.35
12.2776	90.06	600.817278	-5.81149e-07	2.90574e-07	6.33303e-07	150.708
13.2851	90.07	600.8839909999999	1.45287e-07	1.7509e-07	2.49596e-07	54.888
14.2929	90.08	600.950704	1.56463e-07	1.71364e-07	1.86265e-07	37.35
15.3	90.09	601.017417	1.30386e-07	-1.15484e-07	1.26661e-07	-47.49
16.3077	90.1	601.08413	3.39003e-07	-8.00941e-07	8.45645e-07	-65.988
17.3152	90.11	601.150843	2.23519e-08	1.37837e-07	1.41562e-07	103.734
18.3385	90.12	601.217556	2.30969e-07	4.43311e-07	5.21544e-07	66.612
19.363	90.13	601.2842689999999	-3.35278e-08	2.53322e-07	2.57047e-07	104.4
20.3854	90.14	601.3509819999999	-3.35278e-08	2.90574e-07	2.75673e-07	107.718
21.4096	90.15	601.417695	2.79399e-07	-4.76841e-07	5.36445e-07	-56.412
22.4331	90.16	601.4844079999999	1.1921e-07	2.42146e-07	2.86849e-07	68.652
23.4558	90.17	601.551121	6.14677e-07	-1.78815e-07	6.85457e-07	-15.228
24.4795	90.18	601.617834	3.09201e-07	6.70557e-08	2.68223e-07	9.834
25.5041	90.19	601.684547	2.27244e-07	-1.97441e-07	2.71948e-07	-41.454
26.527	90.2	601.75126	3.83707e-07	-5.58797e-07	6.66831e-07	-54.936
27.535	90.21	601.8179729999999	-1.26661e-07	-3.35278e-08	1.1921e-07	-168.996
28.5744	90.22	601.884686	-5.73698e-07	-7.45064e-09	5.886e-07	-179.682
29.6139	90.23	601.951399	-1.45287e-07	-2.16068e-07	2.3842e-07	-121.11
30.6212	90.24	602.018112	2.01167e-07	1.63914e-07	2.57047e-07	33.69
31.6288	90.25	602.0848249999999	3.12926e-07	1.93716e-07	3.46454e-07	41.496
32.6844	90.26	602.151538	-3.72532e-09	2.08617e-07	2.08617e-07	101.802
33.7085	90.27	602.2182509999999	-5.58796e-08	-1.67639e-07	1.60188e-07	-93.432
34.7315	90.28	602.284964	-3.35278e-08	-2.60771e-08	2.23519e-08	-4.398
35.7552	90.29	602.351677	-3.39003e-07	1.89991e-07	3.76256e-07	145.302
36.779	90.3	602.4183899999999	4.58213e-07	6.63105e-07	8.4937e-07	53.874
37.8024	90.31	602.485103	2.57047e-07	6.37028e-07	6.66831e-07	65.412
38.8254	90.32	602.5518159999999	4.73114e-07	-2.60772e-07	5.77424e-07	-31.566
39.8656	90.33	602.618529	8.56821e-08	-2.19793e-07	2.16068e-07	-65.298
40.888	90.34	602.685242	1.11759e-07	-1.00583e-07	1.08034e-07	-48.366
41.8972	90.35	602.751955	5.14094e-07	2.3842e-07	6.03501e-07	20.922
42.9034	90.36	602.818668	-8.56821e-08	-1.63914e-07	1.67639e-07	-122.124
43.9278	90.37	602.8853809999999	2.16068e-07	4.35861e-07	4.88017e-07	62.904
44.9506	90.38	602.9520939999999	-7.82316e-08	3.76256e-07	3.76256e-07	104.292
45.9588	90.39	603.0188069999999	-2.98025e-07	7.8604e-07	8.23293e-07	107.838
46.9661	90.4	603.08552	4.65663e-07	-6.33304e-08	4.80566e-07	-7.368
47.9743	90.41	603.1522329999999	2.60772e-07	1.60188e-07	3.05476e-07	28.56
48.9821	90.42	603.218946	2.08617e-07	4.54487e-07	5.06643e-07	64.938
50.0055	90.43	603.285659	1.49013e-08	-1.34111e-07	1.37837e-07	-63.438
51.0124	90.44	603.352372	5.3272e-07	6.78006e-07	8.53095e-07	50.568
52.036	90.45	603.419085	1.56463e-07	-5.66248e-07	5.62522e-07	-77.808
53.0445	90.46	603.4857979999999	0.0	1.1921e-07	1.1921e-07	81.636
