Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0338	90.5	603.75265	-1.65776e-06	-4.95467e-07	1.84775e-06	-165.036
7.0894	90.51	603.819363	-2.9877e-06	-2.49596e-07	2.99515e-06	-175.272
8.1141	90.52	603.8860759999999	-3.33787e-06	-6.33304e-08	3.32297e-06	-179.196
9.1204	90.53	603.9527889999999	-2.51086e-06	-5.21543e-08	2.48478e-06	-179.154
10.1449	90.54	604.019502	-2.27989e-06	-2.79399e-07	2.34695e-06	-174.072
11.1522	90.55	604.0862149999999	-2.63007e-06	4.54487e-07	2.67105e-06	170.724
12.1593	90.56	604.152928	-2.25009e-06	-1.97441e-07	2.26127e-06	-173.922
13.1831	90.57	604.2196409999999	-2.82006e-06	-2.71948e-07	2.81633e-06	-175.368
14.191	90.58	604.286354	-2.21284e-06	6.33304e-08	2.20166e-06	177.738
15.1991	90.59	604.353067	-2.76418e-06	-2.98025e-08	2.75673e-06	-179.514
16.2215	90.6	604.41978	-2.12716e-06	-2.90574e-07	2.18676e-06	-172.152
17.2294	90.61	604.486493	-2.35812e-06	-2.23518e-07	2.34322e-06	-174.978
18.2371	90.62	604.553206	-2.20166e-06	-3.72532e-09	2.18303e-06	180.0
19.245	90.63	604.619919	-3.08083e-06	1.49013e-08	3.05103e-06	179.184
20.2684	90.64	604.6866319999999	-2.51459e-06	0.0	2.36185e-06	-179.748
21.275	90.65	604.753345	-2.49223e-06	-2.75673e-07	2.50341e-06	-173.64
22.2836	90.66	604.8200579999999	-2.62634e-06	1.86266e-08	2.65615e-06	178.932
23.2909	90.67	604.886771	-2.72693e-06	6.33304e-08	2.80143e-06	178.518
24.3146	90.68	604.953484	-3.58374e-06	2.30969e-07	3.65452e-06	175.842
25.3224	90.69	605.0201969999999	-2.29852e-06	-1.49013e-08	2.24636e-06	-178.206
26.3304	90.7	605.08691	-2.61144e-06	2.60771e-08	2.55184e-06	179.922
27.3375	90.71	605.1536229999999	-2.30969e-06	-2.3842e-07	2.29479e-06	-172.938
28.345	90.72	605.220336	-1.84775e-06	-6.33304e-08	1.86638e-06	-178.98
29.3529	90.73	605.287049	-2.82378e-06	1.08034e-07	2.82751e-06	176.916
30.3601	90.74	605.353762	-2.61144e-06	-4.54487e-07	2.6636e-06	-171.018
31.3839	90.75	605.420475	-2.58909e-06	-2.12342e-07	2.65987e-06	-176.22
32.4073	90.76	605.487188	-2.50341e-06	-3.87432e-07	2.48106e-06	-171.456
33.4309	90.77	605.5539009999999	-2.13461e-06	2.30969e-07	2.18303e-06	173.784
34.4545	90.78	605.6206139999999	-2.55184e-06	1.7509e-07	2.59654e-06	176.034
35.4782	90.79	605.687327	-2.68222e-06	-1.08034e-07	2.65615e-06	-177.186
36.5019	90.8	605.7540399999999	-2.42145e-06	5.96051e-08	2.37675e-06	177.504
37.5256	90.81	605.820753	-2.16441e-06	-1.30386e-07	2.29479e-06	-175.638
38.5481	90.82	605.8874659999999	-2.41773e-06	-1.34111e-07	2.46988e-06	-177.174
39.5567	90.83	605.954179	-2.6636e-06	2.34694e-07	2.68222e-06	175.584
40.5634	90.84	606.020892	-3.27082e-06	-2.34694e-07	3.26709e-06	-176.034
41.5713	90.85	606.0876049999999	-3.21494e-06	-1.86266e-08	3.18886e-06	-179.22
42.5792	90.86	606.154318	-2.72693e-06	1.11759e-07	2.70085e-06	177.45
43.587	90.87	606.221031	-2.63007e-06	-4.95467e-07	2.6636e-06	-169.026
44.6105	90.88	606.287744	-2.61144e-06	-2.53322e-07	2.65987e-06	-174.972
45.618	90.89	606.3544569999999	-2.71948e-06	1.26661e-07	2.68595e-06	177.426
46.6253	90.9	606.42117	-1.90363e-06	4.2096e-07	1.89991e-06	166.818
47.6326	90.91	606.4878829999999	-2.07128e-06	-1.49013e-07	2.075e-06	-175.56
48.6564	90.92	606.554596	-1.31131e-06	1.26661e-07	1.26288e-06	172.8
49.6798	90.93	606.621309	-2.14206e-06	1.11759e-07	2.19049e-06	177.306
50.704	90.94	606.6880219999999	-2.76418e-06	-1.15484e-07	2.80888e-06	-177.78
51.7594	90.95	606.754735	-2.87594e-06	1.15484e-07	2.81633e-06	178.842
52.7819	90.96	606.8214479999999	-2.48106e-06	6.33304e-08	2.50341e-06	178.02
53.8062	90.97	606.888161	-3.0622e-06	-7.45062e-07	3.17024e-06	-166.194
54.8294	90.98	606.954874	-2.47361e-06	-2.01167e-07	2.48106e-06	-175.728
55.837	90.99	607.021587	-2.52949e-06	2.01167e-07	2.58909e-06	175.554
56.8454	91.0	607.0883	-3.3863e-06	-4.09784e-08	3.31925e-06	-179.304
57.8525	91.01	607.1550129999999	-2.22401e-06	-1.34111e-07	2.20539e-06	-177.378
58.8597	91.02	607.221726	-3.20004e-06	-1.04309e-07	3.15161e-06	-178.05
59.8667	91.03	607.2884389999999	-2.31715e-06	1.49013e-08	2.25382e-06	179.574
60.8752	91.04	607.355152	-3.36395e-06	-3.35278e-08	3.36023e-06	-179.718
61.8828	91.05	607.4218649999999	-3.01005e-06	-3.31553e-07	3.0175e-06	-172.884
62.8905	91.06	607.488578	-2.9728e-06	-1.97441e-07	2.93927e-06	-176.772
63.9141	91.07	607.5552909999999	-2.43635e-06	-3.83707e-07	2.40655e-06	-169.974
64.9377	91.08	607.622004	-2.3395e-06	-5.3272e-07	2.4438e-06	-167.448
65.9608	91.09	607.688717	-2.20911e-06	2.01167e-07	2.13833e-06	174.39
66.9844	91.1	607.7554299999999	-2.7232e-06	1.56463e-07	2.7381e-06	177.156
68.0076	91.11	607.822143	-2.26127e-06	9.31327e-08	2.25382e-06	176.694
69.0154	91.12	607.888856	-2.57419e-06	1.8254e-07	2.59282e-06	176.844
70.0543	91.13	607.955569	-3.11436e-06	3.0175e-07	3.20376e-06	174.33
71.079	91.14	608.022282	-2.56674e-06	2.98025e-08	2.50341e-06	-179.844
72.0864	91.15	608.088995	-2.7381e-06	-2.23518e-07	2.80888e-06	-175.29
73.0935	91.16	608.1557079999999	-3.21121e-06	2.23519e-08	3.24847e-06	179.238
74.1012	91.17	608.2224209999999	-3.17024e-06	-1.30386e-07	3.15534e-06	-178.482
75.109	91.18	608.289134	-3.10691e-06	-1.60188e-07	3.17024e-06	-176.892
76.1168	91.19	608.3558469999999	-2.30969e-06	-6.70557e-08	2.35812e-06	-178.56
77.1392	91.2	608.42256	-2.92064e-06	-1.26661e-07	2.87966e-06	-178.248
78.1468	91.21	608.4892729999999	-3.20004e-06	-2.83124e-07	3.23729e-06	-174.402
79.1709	91.22	608.555986	-3.55767e-06	-6.29578e-07	3.59119e-06	-170.064
80.1948	91.23	608.622699	-2.79771e-06	5.58796e-08	2.81633e-06	178.716
81.2178	91.24	608.689412	-2.06755e-06	1.26661e-07	1.89991e-06	176.574
