Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

6.0712	90.0	600.4169999999999	-1.82912e-06	3.46454e-07	1.87383e-06	169.974
7.1269	90.01	600.483713	-3.60237e-06	6.70557e-08	3.58374e-06	178.554
8.1348	90.02	600.5504259999999	-1.16975e-06	4.35861e-07	1.23308e-06	160.308
9.1424	90.03	600.617139	-2.0303e-06	3.09201e-07	2.05637e-06	171.858
10.1505	90.04	600.683852	-9.68583e-07	5.36445e-07	1.12132e-06	148.632
11.1732	90.05	600.7505649999999	-2.08618e-06	-7.82316e-08	2.02657e-06	-177.756
12.1966	90.06	600.817278	-1.21818e-06	4.35861e-07	1.34484e-06	161.694
13.2206	90.07	600.8839909999999	-3.34533e-06	4.73114e-07	3.26337e-06	171.588
14.2445	90.08	600.950704	-1.73972e-06	2.83124e-07	1.81795e-06	171.9
15.2844	90.09	601.017417	-2.48478e-06	-1.52738e-07	2.42145e-06	-175.53
16.3072	90.1	601.08413	-1.51248e-06	1.49013e-08	1.4864e-06	-179.352
17.3316	90.11	601.150843	-1.98932e-06	2.83124e-07	1.96324e-06	171.39
18.3381	90.12	601.217556	-1.2368e-06	8.94074e-08	1.30013e-06	174.42
19.3616	90.13	601.2842689999999	-1.41562e-06	6.70557e-08	1.1772e-06	176.382
20.3695	90.14	601.3509819999999	-1.84775e-06	1.45287e-07	2.04147e-06	177.006
21.3769	90.15	601.417695	-2.23146e-06	1.71364e-07	2.12343e-06	173.13
22.4009	90.16	601.4844079999999	-1.5311e-06	2.45871e-07	1.65776e-06	172.212
23.408	90.17	601.551121	-8.79172e-07	6.33304e-08	8.53095e-07	176.964
24.4161	90.18	601.617834	-1.94834e-06	5.55072e-07	2.0899e-06	164.154
25.4236	90.19	601.684547	-1.44915e-06	1.00583e-07	1.38582e-06	176.994
26.4313	90.2	601.75126	-2.65615e-06	4.76841e-07	2.83124e-06	170.874
27.4549	90.21	601.8179729999999	-1.30386e-06	-1.00583e-07	1.1474e-06	-175.254
28.4779	90.22	601.884686	-1.76207e-06	1.11759e-08	1.88128e-06	179.904
29.502	90.23	601.951399	-2.12343e-06	5.69973e-07	2.08245e-06	163.212
30.5412	90.24	602.018112	-2.57419e-06	4.24685e-07	2.68595e-06	171.168
31.5641	90.25	602.0848249999999	-1.92971e-06	2.27244e-07	1.92599e-06	172.632
32.572	90.26	602.151538	-3.8408e-06	-1.15484e-07	3.93021e-06	-177.942
33.5961	90.27	602.2182509999999	-2.26872e-06	-5.58796e-08	2.31342e-06	-179.016
34.6041	90.28	602.284964	-2.91692e-06	5.84874e-07	2.92809e-06	169.146
35.6265	90.29	602.351677	-2.15323e-06	5.69973e-07	2.27244e-06	165.582
36.6505	90.3	602.4183899999999	-3.67688e-06	2.75673e-07	3.62472e-06	175.458
37.6743	90.31	602.485103	-2.17931e-06	2.27244e-07	2.29107e-06	174.114
38.6817	90.32	602.5518159999999	-3.97864e-06	3.09201e-07	3.93766e-06	175.068
